CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-2d569162-f5e4-4b2b-9f53-e0aae88c2eff,"UI checks the host_status from the server at an interval of 6 seconds (host component status are updated simultaneously in the same polling run).
The server updates the host_status on every heartbea (should happen about every 10 seconds).
Here are the result of 10 test runs, measuring the time between the host component status update and host status update.  Note that these are multiples of 6&apos;s because UI polls every 6 seconds:

30
12
12
12
12
30
6
0
6
0

",1388606135312
http://sealytics.github.io/ontologies/release-model#Bug-2d569162-f5e4-4b2b-9f53-e0aae88c2eff,"Actually, status commands are added each minute which explains the delays especially as observed as shown above. Not sure yet why we will see a 3 minute delay. We should investigate the possibility of updating host status after any command is executed as well.",1388606135312
http://sealytics.github.io/ontologies/release-model#Bug-9b807f56-444a-4e7f-bb24-39e68ed281aa,Committed to trunk and to 1.6.1,1403289989926
http://sealytics.github.io/ontologies/release-model#Bug-b3ce94c3-e782-41ec-9fd7-4dc52f35f75c,+1 for the patch.,1385056328147
http://sealytics.github.io/ontologies/release-model#Bug-b3ce94c3-e782-41ec-9fd7-4dc52f35f75c,committed to trunk,1385056328147
http://sealytics.github.io/ontologies/release-model#Bug-94286c2a-3fd7-48de-9f98-933d2f07c96e,"FAILURE: Integrated in Ambari-trunk-Commit #215 (See [https://builds.apache.org/job/Ambari-trunk-Commit/215/])
AMBARI-7262. Slider View: Flex action for running app not showing user input dialog (regression). (onechiporenko) (onechiporenko: http://git-wip-us.apache.org/repos/asf?p=ambari.git&amp;a=commit&amp;h=b0fee6d4c6546f650d2e255dd646a52b6dc6d46f)
* contrib/views/slider/src/main/resources/ui/app/translations.js
* contrib/views/slider/src/main/resources/ui/app/templates/slider_app/flex_popup.hbs
* contrib/views/slider/src/main/resources/ui/app/assets/data/apps/apps.json
* contrib/views/slider/src/main/resources/ui/app/styles/application.less
* contrib/views/slider/src/main/resources/ui/app/controllers/slider_app_controller.js
* contrib/views/slider/src/main/resources/ui/app/mappers/slider_apps_mapper.js
",1410449962284
http://sealytics.github.io/ontologies/release-model#Bug-94286c2a-3fd7-48de-9f98-933d2f07c96e,Committed to trunk.,1410449962284
http://sealytics.github.io/ontologies/release-model#Bug-94286c2a-3fd7-48de-9f98-933d2f07c96e,Patch added.,1410449962284
http://sealytics.github.io/ontologies/release-model#Bug-94286c2a-3fd7-48de-9f98-933d2f07c96e,+1 for the patch,1410449962284
http://sealytics.github.io/ontologies/release-model#Bug-04c6a0a0-4b06-409b-a03d-83e8081f2dbe,+1 for the patch,1407424260639
http://sealytics.github.io/ontologies/release-model#Bug-04c6a0a0-4b06-409b-a03d-83e8081f2dbe,committed to trunk,1407424260639
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,"Yes, that looks the same.  Does exporting the PYTHONPATH value as stated in AMBARI-5535 act as a work-around for this problem?",1400278306229
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,"Perhaps this is the cause?

{code}
hadoopvm1-1:/usr/lib/python2.6/site-packages/ambari_agent # python HostInfo.py
Traceback (most recent call last):
  File &quot;HostInfo.py&quot;, line 33, in &lt;module&gt;
    from Hardware import Hardware
  File &quot;/usr/lib/python2.6/site-packages/ambari_agent/Hardware.py&quot;, line 24, in &lt;module&gt;
    from Facter import Facter
  File &quot;/usr/lib/python2.6/site-packages/ambari_agent/Facter.py&quot;, line 33, in &lt;module&gt;
    from common_functions import OSCheck
ImportError: No module named common_functions
{code}",1400278306229
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,"{code}
hadoopvm1-1:/usr/lib/python2.6/site-packages/ambari_agent # python Facter.py
Traceback (most recent call last):
  File &quot;Facter.py&quot;, line 33, in &lt;module&gt;
    from common_functions import OSCheck
ImportError: No module named common_functions
{code}

Where is OSCheck? I couldn&apos;t find anything in Google about it",1400278306229
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,AMBARI-5686 addresses this issue.,1400278306229
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,[~mattf] See AMBARI-5535 for more details to the root cause of this issue.,1400278306229
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,"[~jonathan.hurley] says:
Related to AMBARI-5686, this was fixed for trunk 3 weeks ago, which means it will appear in 1.6.1
Although AMBARI-5686 was scoped for CentOS 5.x, the problem was a design issue overall with how firewall checks were done across all of Linux. As a result, the firewall checks are now done correctly based on OS type.

This should be confirmed, then the jira marked Fixed or Duplicate.",1400278306229
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,"[~heat23], can you try re-installing python 2.6, or updating it, or adding the common_functions your python library?",1400278306229
http://sealytics.github.io/ontologies/release-model#Bug-deaa1d08-e168-44a9-85fe-3be9afb6425d,"The issue is with checkIptables assuming that iptables is installed. When iptables is not installed the function will always throw an exception and return ipTablesIsRunning=true.
/ambari-agent/src/main/python/ambari_agent/HostInfo.py
{code} def checkIptables(self):
    iptablesIsRunning = True
    try:
      iptables = subprocess.Popen([&quot;iptables&quot;, &quot;-S&quot;], stdout=subprocess.PIPE)
      stdout = iptables.communicate()
      if stdout == (&apos;-P INPUT ACCEPT\n-P FORWARD ACCEPT\n-P OUTPUT ACCEPT\n&apos;, None):
        iptablesIsRunning = False
    except:
      pass
    return iptablesIsRunning{code}
",1400278306229
