CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-534c96eb-8a68-43c6-8e81-298ad6cf9469,"ok.
the Config class:
{noformat}
package example;

import java.util.List;

import aQute.bnd.annotation.metatype.Meta;

@Meta.OCD(name = &quot;Example&quot;, description = &quot;Example&quot;)
public interface Config {
  static final String DEFAULT_EXAMPLE = &quot;string1=a,b|string2=c,d|string3=e,f&quot;;

  @Meta.AD(deflt = DEFAULT_EXAMPLE, required = false, description = &quot;The example (default = &quot; + DEFAULT_EXAMPLE + &quot;)&quot;)
  List&lt;String&gt; examples();
}
{noformat}

I&apos;ll attach be corresponding screenshot.

webconsole 4.2.2 (all in one)",1405695010258
http://sealytics.github.io/ontologies/release-model#Bug-534c96eb-8a68-43c6-8e81-298ad6cf9469,Could you please provide more information? Where/when exactly is the web console splitting a string?,1405695010258
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"Exactly, it&apos;s because the Windows 7 normalised name does not pass the normalisation test that the problem appears.

To know if a name is already normalised, you could store the normalised names somewhere. There is another bug report from Richard that suggest storing OS names in a properties file.",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"Looks good, David. Thanks!",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"Yes, it fixes the issue for me.

Maybe it is a good occasion to coordinate with https://issues.apache.org/jira/browse/FELIX-3883

Thanks both for your help anyway :-)",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,I&apos;m having a look to provide a fix for this...,1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"Thanks for confirming, Benǫt.",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"Yes, David, I think that would be the easiest too.",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"I guess the easiest way to fix this would be to make that condition pass its own test (like the other tests in this place), e.g. 

{code}  else if ((value.indexOf(&quot; 7&quot;) &gt;= 0) || value.equals(&quot;win7&quot;) || value.equals(&quot;windows7&quot;))
  {
    os = &quot;windows7&quot;;
  }{code}
But that doesn&apos;t change the amount of times that the normalization is executed...",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"Is there a simple way to figure out that a string has already been normalized though?

The one thing that I notice is is that for these Windows values the return value doesn&apos;t pass its own test:
{code}  else if ((value.indexOf(&quot; 7&quot;) &gt;= 0) || value.equals(&quot;win7&quot;))
  {
    os = &quot;windows7&quot;;
  }{code}
",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"Ok, I think the best approach is to simply not re-normalize already normal names. Thanks!",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-8c82365c-74bf-47d4-91e2-d493af31e1ca,"I wrote an implementation in http://svn.apache.org/viewvc?view=revision&amp;revision=1602511

I basically didn&apos;t go for the easiest way I described above, but use a map of all the normalized names instead so that already normalized osnames won&apos;t be normalized again. This should be a little faster at runtime and this should also be really easy to change to having these names stored in a properties file, in a later commit.

Benǫt, would you have time to see whether this fixes the issue for you?
Richard, are you happy with the approach I took? 
If not I&apos;m happy to change things...",1402666407011
http://sealytics.github.io/ontologies/release-model#Bug-66fbf153-362d-4ab6-ba36-347871bddb44,fixed by 1438383 and 1438607,1359101477977
http://sealytics.github.io/ontologies/release-model#Bug-254d7682-fb1f-47dd-ae24-dfb7ce87b275,"Hi,

I&apos;m not able to reproduce the bug.

I&apos;ve a configuration with a provider and two consumer instances:

The provider is the following:

{code}
    @Component
    @Provides(strategy = &quot;INSTANCE&quot;)
    @Instantiate
    public class ProviderComponent implements Service {

        @Override
        public String name() {
            return this.toString();
        }
    }
{code}

The consumer class is:

{code}
    @Component(immediate=true)
    public class ConsumerComponent {

        @Bind
        public void bindService(Service service) {
            System.out.println(service.name());
        }
    }
{code}

And a configuration creating the two consumers:

{code}
    @Configuration
    public class MyConfiguration {

        Instance cons1 = instance().of(ConsumerComponent.class);
        Instance cons2 = instance().of(ConsumerComponent.class);

    }
{code}

And on the console, I get the expected result:

{code}
    test.ProviderComponent@380cb77b
    test.ProviderComponent@64a620a6
{code}

So, I get two different objects as expected.

If I use the &quot;SINGLETON&quot; policy then I get the same object:

{code}
    test.ProviderComponent@477a985
    test.ProviderComponent@477a985
{code}",1408714789547
http://sealytics.github.io/ontologies/release-model#Bug-0a2de78d-a119-40b2-b696-6451a2ef74c8,Close issues after release,1300663377679
http://sealytics.github.io/ontologies/release-model#Bug-0a2de78d-a119-40b2-b696-6451a2ef74c8,"Fixed in Rev. 1244978

Configuration retrieved through getConfiguration now also includes factory configuration which has not been persisted yet.

Also configuration retrieved from getConfiguration is always persisted (even new factory configuration not updated yet). This is to comply with the getConfiguration contract.",1300663377679
http://sealytics.github.io/ontologies/release-model#Bug-0a2de78d-a119-40b2-b696-6451a2ef74c8,"Well, the createFactoryConfiguration method creates just a transient configuration object which is not persisted; in fact not even internally known to exist. So before informing &quot;your friends&quot; in the second step you currently would have to call Configuration.update(Dictionary) before informing &quot;your friends&quot;.

In addition &quot;your excited friend&quot; taking a &quot;peek&quot; is probably calling getConfiguration this will create a Configuration if not existing yet -- which is the case here because the factory configuration does not exist yet. But then this now existing configuration is not a factory configuration but a singleton configuration whose Configuration.getFactoryPid() method will return null.

I think I can build this additional stability (kind of semi-caching the created factory configuration) into Configuration Admin without much effort.
",1300663377679
http://sealytics.github.io/ontologies/release-model#Bug-e690fa2c-18e4-4f78-aa56-a9bb3aa7a7c2,Thanks for supplying the patch. I have applied in Rev. 1174750.,1315257555205
http://sealytics.github.io/ontologies/release-model#Bug-e690fa2c-18e4-4f78-aa56-a9bb3aa7a7c2,"I&apos;m setting this to blocker, because the attached patch reverts a change to HTTP Service API, which hasn&apos;t been released yet.

The intent is not necessarily to get this patch included in http-2.2.2, but I believe the API change should be reviewed before a 2.2.2 release.

Feel free to reduce the priority if this doesn&apos;t seem appropriate.",1315257555205
http://sealytics.github.io/ontologies/release-model#Bug-e690fa2c-18e4-4f78-aa56-a9bb3aa7a7c2,Thanks for reporting. I agree with your assessment of this being a blocker.,1315257555205
http://sealytics.github.io/ontologies/release-model#Bug-e690fa2c-18e4-4f78-aa56-a9bb3aa7a7c2,proposed patch,1315257555205
http://sealytics.github.io/ontologies/release-model#Bug-b7373be9-86f8-4bf4-9b6b-b72af4000cd3,Suggested Patch,1363880030699
http://sealytics.github.io/ontologies/release-model#Bug-b7373be9-86f8-4bf4-9b6b-b72af4000cd3,Committed the proposed solution in rev #1540739.,1363880030699
http://sealytics.github.io/ontologies/release-model#Bug-c197ef99-8e38-481f-8ace-f3339b43a59a,"Patch applied, thanks Bram.",1322163452686
http://sealytics.github.io/ontologies/release-model#Bug-4bcaadff-df40-412d-baf0-fe770a571235,Any simple solutions?,1396937687142
http://sealytics.github.io/ontologies/release-model#Bug-4bcaadff-df40-412d-baf0-fe770a571235,I think this is related to MIME4J-231 which has more details.,1396937687142
http://sealytics.github.io/ontologies/release-model#Bug-4bcaadff-df40-412d-baf0-fe770a571235,Looks like that worked. Thx.,1396937687142
http://sealytics.github.io/ontologies/release-model#Bug-4bcaadff-df40-412d-baf0-fe770a571235,I&apos;ll try &lt;useDefaultManifestFile&gt;true&lt;/useDefaultManifestFile&gt;.,1396937687142
http://sealytics.github.io/ontologies/release-model#Bug-9623ceca-c6eb-44ab-958c-2b4ee56c2da0,"Use in real software reveals something is wrong.... get stuff like registration change queue [unregistered, unregistered, unregistered] whereas consecutive elements are supposed to be different.",1360048268028
http://sealytics.github.io/ontologies/release-model#Bug-9623ceca-c6eb-44ab-958c-2b4ee56c2da0,New fix in rev 1452019.  This one keeps a deque of concurrent registration state change requests and uses the first thread to process all of them.  It also discards requests that duplicate the previous state change request.,1360048268028
http://sealytics.github.io/ontologies/release-model#Bug-9623ceca-c6eb-44ab-958c-2b4ee56c2da0,"rev 1444488, 1444489, 1444490, 1444492, 1444493",1360048268028
http://sealytics.github.io/ontologies/release-model#Bug-9623ceca-c6eb-44ab-958c-2b4ee56c2da0,Last set of fixes seem to work OK,1360048268028
http://sealytics.github.io/ontologies/release-model#Bug-9623ceca-c6eb-44ab-958c-2b4ee56c2da0,original solution really doesn&apos;t work for concurrent register/unregister requests.,1360048268028
http://sealytics.github.io/ontologies/release-model#Bug-fdd9c9ea-d1a0-4c48-a9bb-d3ee49660b5b,"[~jajans] Perfect, thanks - yes we can close this one",1385382353203
http://sealytics.github.io/ontologies/release-model#Bug-fdd9c9ea-d1a0-4c48-a9bb-d3ee49660b5b,"I&apos;ve taken a look at the latest patch of [~fmeschbe] and was wondering why we want to limit the possible values that are allowed in {{SslFilter}}. We now would have to update our code for each new header that is proposed in the future.

I&apos;d propose to just allow the {{SslFilter}} to obtain two configuration values: one for the forward header name and one for the expected value of the header and not do the parsing of values at all.

The above mentioned values could be a good start for the documentation on the website, so your work isn&apos;t lost ;)

Another remark: shouldn&apos;t we propagate the header as configured? Now we always use the {{X-Forwarded-SSL}} header for that purpose, which might be not the most obvious for users using another vendor...",1385382353203
http://sealytics.github.io/ontologies/release-model#Bug-fdd9c9ea-d1a0-4c48-a9bb-d3ee49660b5b,"This really *is* a mess: I found mentions of four headers:

* {{X-Forwarded-SSL: on}} &amp;ndash; the currently hard coded default value
* {{X-Forwarded-Proto: https}} &amp;ndash; [Amazon ELBs hard coded header|http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/TerminologyandKeyConcepts.html#x-forwarded-proto] and in an Nginx Wiki page on [SSL-Offload|http://wiki.nginx.org/SSL-Offloader]. Also listed on Wikipedia&apos;s [List of HTTP header fields|http://en.wikipedia.org/wiki/List_of_HTTP_header_fields] as a quasi standard.
* {{X-Forwarded-Protocol: https}} &amp;ndash; Alternative to X-Forwarded-Proto
* {{Front-End-Https: on}} &amp;ndash; Microsoft header, see [Helping to Secure Communication: Client to Front-End Server|http://technet.microsoft.com/en-us/library/aa997519%28v=exchg.65%29.aspx]. Also listed on Wikipedia&apos;s [List of HTTP header fields|http://en.wikipedia.org/wiki/List_of_HTTP_header_fields]

I fear we have to provide support for all.",1385382353203
