5,2013,9,1
3,2013,6,1
3,2013,4,1
3,2013,9,1
0,2013,11,1
4,2013,9,1
2,2013,9,2
3,2013,8,1
2,2013,10,1
0,2013,10,2
0,2014,7,1
1,2013,9,1
5,2013,3,1
0,2014,3,1
5,2013,4,2
1,2013,5,1
4,2014,2,2
4,2014,1,1
4,2014,0,1
2,2014,0,1
3,2014,4,2
3,2014,5,2
2,2014,3,1
3,2014,3,2
4,2014,3,2
5,2014,4,3
5,2014,5,1
5,2012,8,1
2,2014,7,1
1,2013,10,3
1,2013,11,1
3,2013,10,4
0,2013,8,1
0,2013,9,3
5,2014,0,2
5,2014,1,3
1,2014,6,1
5,2014,2,5
1,2012,7,1
0,2013,4,1
1,2014,4,2
5,2014,3,3
1,2014,3,2
3,2014,0,1
1,2014,2,1
1,2014,1,1
4,2013,1,1
5,2013,10,2
5,2013,11,2
1,2014,0,1
