1,1385992305266,2013-12-02 08:51:45 UTC,2013-12-02
2,1407774273804,2014-08-11 12:24:33 UTC,2014-08-11
3,1392062030183,2014-02-10 14:53:50 UTC,2014-02-10
4,1403288274147,2014-06-20 14:17:54 UTC,2014-06-20
5,1408111545327,2014-08-15 10:05:45 UTC,2014-08-15
6,1392124651164,2014-02-11 08:17:31 UTC,2014-02-11
7,1380035477494,2013-09-24 11:11:17 UTC,2013-09-24
8,1407870517534,2014-08-12 15:08:37 UTC,2014-08-12
9,1386966459557,2013-12-13 15:27:39 UTC,2013-12-13
10,1400799329949,2014-05-22 18:55:29 UTC,2014-05-22
11,1385660549645,2013-11-28 12:42:29 UTC,2013-11-28
12,1383919804425,2013-11-08 09:10:04 UTC,2013-11-08
13,1390234647348,2014-01-20 11:17:27 UTC,2014-01-20
14,1406891232789,2014-08-01 07:07:12 UTC,2014-08-01
15,1396918547753,2014-04-07 20:55:47 UTC,2014-04-07
16,1406898595020,2014-08-01 09:09:55 UTC,2014-08-01
17,1404209968842,2014-07-01 06:19:28 UTC,2014-07-01
18,1404742576829,2014-07-07 10:16:16 UTC,2014-07-07
19,1385638858306,2013-11-28 06:40:58 UTC,2013-11-28
20,1382310716383,2013-10-20 19:11:56 UTC,2013-10-20
21,1385516814360,2013-11-26 20:46:54 UTC,2013-11-26
22,1404947204735,2014-07-09 19:06:44 UTC,2014-07-09
23,1390834087648,2014-01-27 09:48:07 UTC,2014-01-27
24,1380744658520,2013-10-02 16:10:58 UTC,2013-10-02
25,1398847522258,2014-04-30 04:45:22 UTC,2014-04-30
26,1384268516438,2013-11-12 10:01:56 UTC,2013-11-12
27,1395882267324,2014-03-26 21:04:27 UTC,2014-03-26
28,1384822219048,2013-11-18 19:50:19 UTC,2013-11-18
29,1399658175846,2014-05-09 13:56:15 UTC,2014-05-09
30,1395955175189,2014-03-27 17:19:35 UTC,2014-03-27
31,1400949475744,2014-05-24 12:37:55 UTC,2014-05-24
32,1405013144025,2014-07-10 13:25:44 UTC,2014-07-10
33,1380535357054,2013-09-30 06:02:37 UTC,2013-09-30
34,1401113174938,2014-05-26 10:06:14 UTC,2014-05-26
35,1410832555095,2014-09-15 21:55:55 UTC,2014-09-15
36,1410478154916,2014-09-11 19:29:14 UTC,2014-09-11
37,1409854904511,2014-09-04 14:21:44 UTC,2014-09-04
38,1400696174851,2014-05-21 14:16:14 UTC,2014-05-21
39,1381334190806,2013-10-09 11:56:30 UTC,2013-10-09
40,1382755674081,2013-10-25 22:47:54 UTC,2013-10-25
41,1401245676068,2014-05-27 22:54:36 UTC,2014-05-27
42,1401322741225,2014-05-28 20:19:01 UTC,2014-05-28
43,1401236433273,2014-05-27 20:20:33 UTC,2014-05-27
44,1405556844549,2014-07-16 20:27:24 UTC,2014-07-16
45,1391175383696,2014-01-31 08:36:23 UTC,2014-01-31
46,1404989382004,2014-07-10 06:49:42 UTC,2014-07-10
47,1401398566268,2014-05-29 17:22:46 UTC,2014-05-29
48,1396357874465,2014-04-01 09:11:14 UTC,2014-04-01
49,1400097373868,2014-05-14 15:56:13 UTC,2014-05-14
50,1400605307731,2014-05-20 13:01:47 UTC,2014-05-20
51,1392935140929,2014-02-20 17:25:40 UTC,2014-02-20
52,1400255143877,2014-05-16 11:45:43 UTC,2014-05-16
53,1402426557592,2014-06-10 14:55:57 UTC,2014-06-10
54,1383314283933,2013-11-01 09:58:03 UTC,2013-11-01
55,1404757284016,2014-07-07 14:21:24 UTC,2014-07-07
56,1404399459376,2014-07-03 10:57:39 UTC,2014-07-03
57,1409144132396,2014-08-27 08:55:32 UTC,2014-08-27
