4,2013,7,1
5,2013,9,1
2,2013,2,2
3,2013,5,1
3,2013,6,3
2,2013,3,6
2,2013,4,2
3,2013,3,1
2,2013,5,1
3,2013,4,2
3,2013,9,6
2,2013,6,3
5,2013,5,1
1,2009,10,1
2,2013,7,4
5,2013,6,1
4,2013,9,4
2,2013,8,9
3,2013,7,2
5,2013,8,2
2,2013,9,11
3,2013,8,3
4,2013,8,3
2,2013,10,10
2,2013,11,9
4,2012,10,2
1,2010,11,1
2,2009,1,1
4,2009,5,1
0,2006,10,1
4,2009,9,1
0,2014,7,2
1,2013,9,6
0,2014,8,1
1,2013,8,6
0,2014,5,1
0,2014,6,4
1,2013,7,2
1,2013,6,4
0,2014,4,1
1,2013,5,1
1,2013,4,3
3,2013,1,1
1,2013,3,1
3,2013,2,1
0,2014,2,1
1,2013,2,1
2,2012,1,1
3,2013,0,3
1,2013,1,2
0,2014,0,1
4,2014,6,5
3,2014,4,8
0,2009,10,1
3,2014,5,10
0,2009,11,1
4,2014,5,1
3,2014,2,10
4,2014,4,3
3,2010,6,1
3,2014,3,7
3,2010,7,1
4,2014,3,2
3,2014,8,1
2,2012,7,2
2,2012,9,1
3,2014,6,5
4,2014,7,4
5,2012,9,1
3,2014,7,4
2,2011,11,1
2,2011,10,2
4,2010,11,1
4,2009,11,1
5,2009,5,1
3,2007,7,1
2,2008,4,2
3,2013,11,8
3,2013,10,8
0,2013,8,1
0,2013,9,3
1,2012,9,1
1,2012,8,2
0,2013,7,1
0,2013,4,1
1,2012,6,2
0,2013,5,1
3,2014,0,8
2,2011,0,2
0,2013,3,1
3,2014,1,4
4,2013,2,1
4,2013,1,1
3,2010,2,1
0,2013,1,1
2,2011,4,1
0,2011,0,1
4,2011,7,1
2,2011,6,2
1,2011,0,1
2,2011,8,1
0,2013,11,1
1,2011,10,2
2,2011,9,1
3,2010,10,1
3,2010,11,1
1,2008,3,1
1,2008,1,1
3,2009,11,1
0,2013,10,2
3,2008,2,1
2,2007,2,1
1,2008,10,2
3,2008,4,1
3,2008,8,1
2,2012,10,1
2,2012,11,1
5,2008,10,1
4,2013,11,4
4,2013,10,2
1,2011,7,1
4,2014,2,1
4,2014,1,2
4,2010,5,1
3,2011,4,1
4,2014,0,4
5,2011,11,1
2,2014,0,5
2,2014,1,16
5,2014,8,2
1,2010,3,1
2,2014,2,14
2,2014,3,9
2,2010,7,1
2,2014,4,8
2,2010,8,2
1,2010,0,1
2,2014,5,4
2,2014,6,13
5,2014,5,2
2,2014,7,4
3,2012,8,1
3,2012,9,5
2,2014,8,1
5,2014,7,1
1,2013,10,8
1,2013,11,6
3,2012,10,1
2,2009,11,3
4,2008,4,1
5,2007,1,1
4,2008,5,1
3,2009,3,1
2,2006,6,1
3,2009,4,1
2,2010,11,2
1,2014,8,3
1,2014,7,7
5,2014,0,2
1,2014,6,5
5,2014,1,1
4,2011,0,2
5,2014,2,1
1,2014,5,8
1,2010,9,2
5,2010,6,1
0,2011,6,1
1,2010,8,1
1,2014,4,5
0,2011,7,1
5,2014,3,1
1,2014,3,5
1,2014,2,12
0,2011,5,1
5,2013,10,1
1,2014,1,17
2,2013,0,2
2,2013,1,3
1,2014,0,5
4,2011,2,1
1,2010,4,1
