3,2013,5,1
5,2013,9,2
3,2013,3,1
4,2013,5,1
4,2013,4,1
2,2013,5,1
3,2013,9,4
2,2013,7,1
2,2013,8,4
4,2013,9,1
3,2013,7,1
5,2013,7,1
2,2013,9,6
3,2013,8,3
5,2013,8,2
2,2013,10,3
2,2013,11,1
2,2009,9,1
0,2014,7,8
1,2013,9,19
0,2014,8,1
1,2013,8,33
0,2014,5,5
5,2013,1,1
1,2013,7,5
0,2014,6,5
0,2014,3,4
1,2013,6,5
1,2013,5,5
0,2014,4,12
0,2014,1,7
1,2013,4,6
1,2013,3,4
3,2013,2,1
0,2014,2,2
1,2013,2,6
0,2014,0,4
1,2013,1,1
3,2014,4,5
1,2012,1,1
4,2014,5,1
3,2014,5,1
2,2012,4,1
3,2014,2,7
4,2014,4,1
4,2014,3,1
3,2014,3,1
3,2014,6,2
3,2014,7,3
1,2009,5,1
5,2012,10,1
1,2012,10,1
3,2013,10,1
0,2013,8,10
0,2013,9,5
0,2013,6,3
1,2012,9,1
1,2012,8,1
0,2013,7,3
0,2013,4,1
0,2013,5,1
3,2014,0,2
0,2013,2,3
3,2014,1,2
4,2013,2,1
0,2013,1,2
0,2013,11,1
1,2008,7,1
1,2008,5,1
0,2013,10,4
2,2012,10,1
2,2012,11,1
0,2012,6,1
1,2011,6,1
4,2014,1,1
3,2011,4,1
2,2014,0,4
5,2014,8,1
2,2014,1,2
0,2010,1,1
2,2014,2,4
2,2014,3,3
2,2014,4,5
2,2014,5,6
5,2014,4,1
2,2014,6,10
5,2014,5,3
2,2014,7,6
5,2014,6,1
5,2014,7,1
1,2013,10,16
1,2013,11,6
0,2008,10,1
1,2014,8,15
1,2014,7,14
1,2014,6,27
1,2014,5,27
5,2014,2,1
1,2014,4,16
1,2010,8,2
1,2014,3,15
0,2011,4,1
1,2014,2,14
1,2014,1,15
5,2013,10,1
2,2013,1,1
1,2014,0,7
