5,2013,9,15
4,2013,7,4
2,2013,2,2
3,2013,6,1
2,2013,4,1
2,2013,5,2
2,2013,6,3
3,2013,9,1
5,2013,5,1
2,2013,7,6
5,2013,6,4
5,2013,7,15
3,2013,7,2
2,2013,8,5
4,2013,9,1
2,2013,9,1
5,2013,8,16
3,2013,8,1
2,2013,10,10
2,2013,11,3
0,2012,11,1
1,2013,9,5
0,2014,8,2
1,2013,8,3
0,2014,5,3
5,2013,1,2
1,2013,7,4
5,2013,2,2
0,2014,6,4
5,2013,3,1
1,2013,6,2
5,2013,4,2
0,2014,1,3
0,2014,2,5
3,2013,2,2
0,2014,0,2
4,2014,6,1
3,2014,4,1
3,2014,5,2
4,2014,5,1
0,2012,0,1
3,2014,2,2
4,2014,4,3
3,2014,3,3
4,2014,3,4
5,2012,6,1
3,2014,8,2
5,2012,8,1
3,2014,6,2
4,2014,7,1
5,2012,9,1
3,2014,7,2
2,2011,10,1
5,2009,4,1
1,2012,11,1
3,2013,11,1
3,2013,10,1
0,2013,8,1
0,2013,9,3
0,2013,6,1
0,2013,7,8
3,2014,0,1
3,2014,1,1
4,2013,2,2
0,2013,1,1
1,2011,0,1
0,2013,11,3
1,2011,10,1
5,2011,9,1
0,2013,10,4
2,2007,6,1
2,2012,10,1
4,2013,10,2
5,2011,4,1
1,2011,7,1
1,2011,6,1
5,2011,0,1
4,2014,1,1
4,2014,0,2
5,2011,1,1
2,2014,0,4
1,2011,3,1
2,2014,1,4
5,2014,8,6
2,2014,2,10
2,2014,3,8
2,2014,4,2
5,2014,4,14
2,2014,5,4
5,2010,8,1
5,2014,5,13
2,2014,6,7
5,2014,6,14
2,2014,7,5
5,2014,7,9
2,2014,8,4
1,2013,10,1
5,2007,11,1
2,2009,10,1
5,2007,9,1
1,2014,8,1
1,2014,7,4
5,2014,0,11
5,2014,1,7
1,2014,6,4
5,2014,2,11
1,2014,5,2
1,2014,4,4
5,2014,3,15
1,2014,3,3
5,2013,10,18
1,2014,1,2
5,2013,11,11
1,2014,0,3
3,2012,1,1
