1,0.166667,0.333333,0.25,0.0833333,0.0833333,0.0833333
2,0.153846,0.0769231,0.153846,0.0769231,0.0769231,0.461538
3,0.0977444,0.0150376,0.308271,0.0300752,0.428571,0.120301
4,0.0617284,0.0576132,0.403292,0.0576132,0.0658436,0.353909
5,0.0454545,0.0454545,0.636364,0.181818,0.0454545,0.0454545
6,0.181818,0.0909091,0.272727,0.0909091,0.0909091,0.272727
7,0.128205,0.025641,0.25641,0.307692,0.025641,0.25641
8,0.168317,0.435644,0.00990099,0.00990099,0.0891089,0.287129
9,0.0263158,0.0263158,0.210526,0.0263158,0.394737,0.315789
10,0.555804,0.209821,0.0379464,0.0334821,0.0982143,0.0647321
11,0.05,0.35,0.05,0.05,0.05,0.45
12,0.235294,0.117647,0.411765,0.0588235,0.0588235,0.117647
13,0.0333333,0.0333333,0.0333333,0.0333333,0.166667,0.7
14,0.0222222,0.0222222,0.0666667,0.155556,0.0444444,0.688889
15,0.197772,0.0529248,0.356546,0.0167131,0.0529248,0.32312
16,0.206897,0.172414,0.0344828,0.0344828,0.0344828,0.517241
17,0.111111,0.111111,0.111111,0.111111,0.111111,0.444444
18,0.1,0.2,0.1,0.1,0.1,0.4
19,0.0666667,0.2,0.0666667,0.0666667,0.0666667,0.533333
20,0.0833333,0.166667,0.5,0.0833333,0.0833333,0.0833333
21,0.0333333,0.233333,0.0666667,0.0333333,0.2,0.433333
22,0.0666667,0.2,0.0666667,0.0666667,0.0666667,0.533333
23,0.0555556,0.518519,0.12963,0.0185185,0.0185185,0.259259
24,0.0344828,0.0344828,0.275862,0.0344828,0.137931,0.482759
25,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.583333
26,0.0782313,0.517007,0.119048,0.14966,0.00680272,0.129252
27,0.166667,0.0190476,0.152381,0.0904762,0.257143,0.314286
28,0.15,0.05,0.05,0.45,0.05,0.25
29,0.260638,0.0904255,0.260638,0.0691489,0.00531915,0.31383
30,0.285714,0.0714286,0.0714286,0.0714286,0.0714286,0.428571
31,0.0143885,0.0503597,0.352518,0.00719424,0.323741,0.251799
32,0.0243902,0.0243902,0.463415,0.0487805,0.195122,0.243902
33,0.815951,0.0797546,0.0122699,0.0552147,0.00306748,0.0337423
34,0.0217391,0.0217391,0.326087,0.217391,0.0217391,0.391304
35,0.182796,0.0896057,0.0752688,0.0681004,0.218638,0.365591
36,0.0483871,0.0967742,0.16129,0.225806,0.209677,0.258065
37,0.0149254,0.0149254,0.328358,0.0895522,0.104478,0.447761
38,0.0612813,0.0543175,0.220056,0.0306407,0.575209,0.0584958
39,0.109914,0.146552,0.196121,0.114224,0.0581897,0.375
40,0.0954198,0.019084,0.19084,0.0458015,0.469466,0.179389
41,0.0188679,0.0188679,0.641509,0.0377358,0.188679,0.0943396
42,0.188482,0.0418848,0.465969,0.0052356,0.0052356,0.293194
43,0.0153846,0.0923077,0.0615385,0.123077,0.0769231,0.630769
44,0.285714,0.0816327,0.265306,0.0204082,0.0204082,0.326531
45,0.0555556,0.0185185,0.527778,0.0462963,0.00925926,0.342593
46,0.0714286,0.0714286,0.0714286,0.142857,0.0714286,0.571429
47,0.105263,0.0263158,0.157895,0.0263158,0.0263158,0.657895
48,0.0385852,0.0128617,0.469453,0.022508,0.0996785,0.356913
49,0.037037,0.0666667,0.481481,0.0222222,0.0666667,0.325926
50,0.0833333,0.333333,0.333333,0.0833333,0.0833333,0.0833333
51,0.0769231,0.0769231,0.0769231,0.0769231,0.0769231,0.615385
52,0.131148,0.0819672,0.0655738,0.327869,0.0655738,0.327869
53,0.0833333,0.0833333,0.5,0.0833333,0.0833333,0.166667
54,0.157895,0.0526316,0.368421,0.0526316,0.0526316,0.315789
55,0.370629,0.111888,0.202797,0.0034965,0.0699301,0.241259
56,0.05,0.05,0.1,0.05,0.05,0.7
57,0.0666667,0.666667,0.0666667,0.0666667,0.0666667,0.0666667
58,0.404255,0.0212766,0.0212766,0.0851064,0.0212766,0.446809
59,0.1,0.2,0.1,0.1,0.1,0.4
60,0.047619,0.047619,0.285714,0.0952381,0.047619,0.47619
61,0.235294,0.1,0.194118,0.0411765,0.1,0.329412
62,0.1,0.1,0.1,0.1,0.1,0.5
63,0.04,0.04,0.32,0.12,0.04,0.44
64,0.0333333,0.0333333,0.3,0.0333333,0.0333333,0.566667
65,0.166667,0.0833333,0.0416667,0.0833333,0.125,0.5
66,0.0833333,0.0833333,0.25,0.0833333,0.0833333,0.416667
67,0.00961538,0.00961538,0.394231,0.00961538,0.125,0.451923
68,0.125,0.125,0.125,0.125,0.125,0.375
69,0.125,0.125,0.375,0.125,0.125,0.125
70,0.0555556,0.111111,0.222222,0.0555556,0.0555556,0.5
71,0.1,0.3,0.1,0.1,0.1,0.3
72,0.298246,0.00877193,0.429825,0.00877193,0.0701754,0.184211
73,0.0196078,0.372549,0.137255,0.117647,0.0588235,0.294118
74,0.0296053,0.0296053,0.180921,0.167763,0.358553,0.233553
75,0.0526316,0.421053,0.0526316,0.263158,0.0526316,0.157895
76,0.184211,0.105263,0.0789474,0.210526,0.0526316,0.368421
77,0.602649,0.00662252,0.238411,0.0397351,0.013245,0.0993377
78,0.0707071,0.010101,0.252525,0.040404,0.323232,0.30303
79,0.125,0.125,0.125,0.25,0.125,0.25
80,0.0769231,0.0769231,0.153846,0.307692,0.307692,0.0769231
81,0.164921,0.0968586,0.47644,0.0549738,0.0863874,0.120419
82,0.0606061,0.212121,0.333333,0.030303,0.30303,0.0606061
83,0.5,0.0675676,0.135135,0.0810811,0.0135135,0.202703
