1,2013,0,3
2,2013,2,14
4,2013,7,10
5,2013,9,4
2,2013,3,19
4,2013,6,12
3,2013,6,1
4,2013,5,10
2,2013,4,23
3,2013,3,3
2,2013,5,17
4,2013,4,13
3,2013,4,4
3,2013,9,7
2,2013,6,21
5,2013,5,3
2,2013,7,36
5,2013,6,3
2,2013,8,35
5,2013,7,3
4,2013,9,28
3,2013,7,5
2,2013,9,57
4,2013,8,15
5,2013,8,1
3,2013,8,2
2,2013,10,36
2,2013,11,39
4,2012,11,1
4,2012,10,1
4,2009,7,1
2,2009,6,1
0,2014,7,2
1,2013,9,76
0,2014,8,5
1,2013,8,38
0,2014,5,2
4,2012,0,1
1,2013,7,34
0,2014,6,3
5,2013,2,2
1,2013,6,25
0,2014,3,5
1,2013,5,11
0,2014,4,3
5,2013,4,3
1,2013,4,17
0,2014,1,4
4,2012,4,3
1,2013,3,20
2,2012,0,1
0,2014,2,8
1,2013,2,6
0,2014,0,6
1,2013,1,7
2,2012,2,3
5,2013,0,1
3,2013,0,1
4,2014,6,17
3,2014,4,9
2,2012,3,1
1,2012,1,2
4,2014,5,16
3,2014,5,5
2,2012,4,2
1,2012,0,1
4,2014,4,14
2,2012,5,6
3,2014,2,8
4,2014,3,28
2,2012,6,4
3,2014,3,6
2,2012,7,2
3,2014,8,2
4,2014,8,14
2,2012,9,4
3,2014,6,1
4,2014,7,17
3,2014,7,5
2,2011,10,3
4,2010,11,1
1,2009,6,2
5,2012,11,1
1,2012,10,1
1,2012,11,1
2,2008,8,1
3,2013,11,7
3,2013,10,5
0,2013,8,3
0,2013,9,9
0,2013,6,2
1,2012,9,4
0,2013,7,2
1,2012,8,6
0,2013,4,1
1,2012,7,2
0,2013,5,2
1,2012,6,4
1,2012,5,4
2,2011,0,2
4,2013,3,8
3,2014,0,4
0,2013,2,2
0,2013,3,2
1,2012,4,1
2,2011,1,5
3,2014,1,2
4,2013,2,2
2,2011,2,2
1,2012,3,3
4,2013,1,1
2,2011,3,1
1,2012,2,2
4,2013,0,3
0,2013,1,3
1,2011,2,4
2,2011,4,1
1,2011,1,1
4,2011,7,3
2,2011,6,1
3,2011,5,1
0,2013,11,1
2,2011,9,3
1,2008,10,1
2,2012,10,5
5,2008,9,1
2,2012,11,4
4,2013,11,10
4,2013,10,18
1,2011,8,1
1,2011,7,2
4,2014,2,36
2,2010,1,1
1,2011,6,2
4,2014,1,17
2,2010,2,1
4,2010,4,1
4,2014,0,13
2,2014,0,50
2,2010,4,1
2,2014,1,24
4,2012,8,1
5,2014,8,1
2,2014,2,52
4,2012,7,1
2,2014,3,53
2,2010,7,1
2,2014,4,29
2,2014,5,31
5,2014,4,3
2,2014,6,41
5,2014,5,3
2,2014,7,43
5,2014,6,6
2,2014,8,24
5,2014,7,5
3,2012,9,1
1,2013,10,27
1,2013,11,38
3,2012,10,1
3,2012,11,1
2,2009,11,1
4,2011,10,1
4,2011,11,1
1,2014,8,37
1,2014,7,52
5,2014,0,2
4,2011,1,1
1,2014,6,40
5,2014,1,4
1,2014,5,35
5,2014,2,5
1,2010,9,1
1,2014,4,35
5,2014,3,7
5,2010,7,1
1,2014,3,45
1,2010,7,2
1,2014,2,79
1,2014,1,35
2,2013,0,6
5,2013,10,3
1,2014,0,49
2,2013,1,2
5,2013,11,3
4,2011,2,1
