# 464 6 2784
1 1:0.450867 2:0.00578035 3:0.283237 4:0.0289017 5:0.144509 6:0.0867052
2 1:0.0434783 2:0.217391 3:0.304348 4:0.0869565 5:0.0869565 6:0.26087
3 1:0.479167 2:0.0208333 3:0.1875 4:0.25 5:0.0208333 6:0.0416667
4 1:0.156627 2:0.216867 3:0.144578 4:0.0060241 5:0.271084 6:0.204819
5 1:0.230769 2:0.0576923 3:0.153846 4:0.0192308 5:0.0192308 6:0.519231
6 1:0.4 2:0.0285714 3:0.0285714 4:0.0285714 5:0.0285714 6:0.485714
7 1:0.264706 2:0.352941 3:0.117647 4:0.117647 5:0.117647 6:0.0294118
8 1:0.142857 2:0.285714 3:0.142857 4:0.142857 5:0.142857 6:0.142857
9 1:0.142857 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.285714
10 1:0.111111 2:0.333333 3:0.0555556 4:0.0555556 5:0.111111 6:0.333333
11 1:0.0285714 2:0.0857143 3:0.428571 4:0.0285714 5:0.0285714 6:0.4
12 1:0.105263 2:0.0526316 3:0.263158 4:0.0526316 5:0.0526316 6:0.473684
13 1:0.313636 2:0.0954545 3:0.113636 4:0.00454545 5:0.172727 6:0.3
14 1:0.157895 2:0.0263158 3:0.350877 4:0.0350877 5:0.149123 6:0.280702
15 1:0.2 2:0.225 3:0.125 4:0.025 5:0.25 6:0.175
16 1:0.162162 2:0.0810811 3:0.027027 4:0.0540541 5:0.27027 6:0.405405
17 1:0.111111 2:0.111111 3:0.111111 4:0.111111 5:0.111111 6:0.444444
18 1:0.491071 2:0.0446429 3:0.160714 4:0.00892857 5:0.0535714 6:0.241071
19 1:0.193548 2:0.0967742 3:0.201613 4:0.33871 5:0.0483871 6:0.120968
20 1:0.047619 2:0.047619 3:0.190476 4:0.047619 5:0.619048 6:0.047619
21 1:0.181818 2:0.030303 3:0.212121 4:0.121212 5:0.030303 6:0.424242
22 1:0.1 2:0.1 3:0.1 4:0.1 5:0.1 6:0.5
23 1:0.124224 2:0.10559 3:0.329193 4:0.149068 5:0.15528 6:0.136646
24 1:0.162791 2:0.186047 3:0.162791 4:0.0232558 5:0.0232558 6:0.44186
25 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
26 1:0.454545 2:0.0909091 3:0.0909091 4:0.0909091 5:0.0909091 6:0.181818
27 1:0.338983 2:0.0847458 3:0.0169492 4:0.0169492 5:0.169492 6:0.372881
28 1:0.037037 2:0.444444 3:0.037037 4:0.296296 5:0.0740741 6:0.111111
29 1:0.0322581 2:0.0322581 3:0.290323 4:0.193548 5:0.0322581 6:0.419355
30 1:0.307692 2:0.0153846 3:0.169231 4:0.138462 5:0.153846 6:0.215385
31 1:0.0172414 2:0.706897 3:0.0172414 4:0.0689655 5:0.12069 6:0.0689655
32 1:0.19171 2:0.0259067 3:0.134715 4:0.450777 5:0.0621762 6:0.134715
33 1:0.111111 2:0.111111 3:0.111111 4:0.111111 5:0.111111 6:0.444444
34 1:0.125 2:0.125 3:0.125 4:0.125 5:0.125 6:0.375
35 1:0.156757 2:0.00540541 3:0.0972973 4:0.00540541 5:0.610811 6:0.124324
36 1:0.0384615 2:0.5 3:0.0769231 4:0.0384615 5:0.307692 6:0.0384615
37 1:0.321429 2:0.321429 3:0.0142857 4:0.221429 5:0.0214286 6:0.1
38 1:0.0909091 2:0.0909091 3:0.0909091 4:0.0909091 5:0.0909091 6:0.545455
39 1:0.176471 2:0.0294118 3:0.441176 4:0.0294118 5:0.0294118 6:0.294118
40 1:0.13253 2:0.0481928 3:0.13253 4:0.0120482 5:0.385542 6:0.289157
41 1:0.153846 2:0.0384615 3:0.0769231 4:0.192308 5:0.0384615 6:0.5
42 1:0.1 2:0.1 3:0.1 4:0.1 5:0.3 6:0.3
43 1:0.0434783 2:0.0434783 3:0.173913 4:0.130435 5:0.0869565 6:0.521739
44 1:0.203947 2:0.0131579 3:0.592105 4:0.111842 5:0.0197368 6:0.0592105
45 1:0.0365854 2:0.914634 3:0.0121951 4:0.0121951 5:0.0121951 6:0.0121951
46 1:0.142857 2:0.285714 3:0.142857 4:0.142857 5:0.142857 6:0.142857
47 1:0.219512 2:0.097561 3:0.0487805 4:0.195122 5:0.195122 6:0.243902
48 1:0.0714286 2:0.571429 3:0.0714286 4:0.0714286 5:0.142857 6:0.0714286
49 1:0.195876 2:0.0103093 3:0.154639 4:0.28866 5:0.0103093 6:0.340206
50 1:0.3125 2:0.125 3:0.0625 4:0.0625 5:0.0625 6:0.375
51 1:0.047619 2:0.190476 3:0.047619 4:0.571429 5:0.047619 6:0.0952381
52 1:0.142857 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.285714
53 1:0.0555556 2:0.0555556 3:0.0555556 4:0.0555556 5:0.388889 6:0.388889
54 1:0.383459 2:0.24812 3:0.037594 4:0.0075188 5:0.157895 6:0.165414
55 1:0.16 2:0.533333 3:0.08 4:0.02 5:0.16 6:0.0466667
56 1:0.301075 2:0.247312 3:0.0322581 4:0.311828 5:0.0107527 6:0.0967742
57 1:0.0833333 2:0.5 3:0.0833333 4:0.0833333 5:0.166667 6:0.0833333
58 1:0.05 2:0.19 3:0.25 4:0.23 5:0.24 6:0.04
59 1:0.0217391 2:0.23913 3:0.0652174 4:0.0108696 5:0.597826 6:0.0652174
60 1:0.125 2:0.375 3:0.125 4:0.125 5:0.125 6:0.125
61 1:0.125 2:0.125 3:0.125 4:0.125 5:0.125 6:0.375
62 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
63 1:0.0833333 2:0.0833333 3:0.0833333 4:0.0833333 5:0.0833333 6:0.583333
64 1:0.111111 2:0.444444 3:0.111111 4:0.111111 5:0.111111 6:0.111111
65 1:0.0769231 2:0.538462 3:0.0769231 4:0.0769231 5:0.153846 6:0.0769231
66 1:0.0147059 2:0.0735294 3:0.411765 4:0.352941 5:0.117647 6:0.0294118
67 1:0.125 2:0.125 3:0.125 4:0.125 5:0.375 6:0.125
68 1:0.210526 2:0.0175439 3:0.45614 4:0.0175439 5:0.0175439 6:0.280702
69 1:0.266667 2:0.166667 3:0.0166667 4:0.0166667 5:0.166667 6:0.366667
70 1:0.0322581 2:0.741935 3:0.0322581 4:0.0322581 5:0.0322581 6:0.129032
71 1:0.00854701 2:0.0940171 3:0.00854701 4:0.57265 5:0.196581 6:0.119658
72 1:0.0909091 2:0.0909091 3:0.0909091 4:0.0909091 5:0.0909091 6:0.545455
73 1:0.1 2:0.1 3:0.1 4:0.1 5:0.1 6:0.5
74 1:0.195122 2:0.195122 3:0.0243902 4:0.0243902 5:0.439024 6:0.121951
75 1:0.243197 2:0.0255102 3:0.532313 4:0.102041 5:0.0204082 6:0.0765306
76 1:0.00925926 2:0.268519 3:0.333333 4:0.12037 5:0.12963 6:0.138889
77 1:0.173913 2:0.0434783 3:0.130435 4:0.0434783 5:0.0434783 6:0.565217
78 1:0.111111 2:0.444444 3:0.111111 4:0.111111 5:0.111111 6:0.111111
79 1:0.125 2:0.125 3:0.125 4:0.125 5:0.125 6:0.375
80 1:0.195652 2:0.0434783 3:0.108696 4:0.195652 5:0.0217391 6:0.434783
81 1:0.0833333 2:0.0833333 3:0.0833333 4:0.5 5:0.0833333 6:0.166667
82 1:0.125 2:0.125 3:0.125 4:0.125 5:0.125 6:0.375
83 1:0.16129 2:0.612903 3:0.0322581 4:0.0967742 5:0.0322581 6:0.0645161
84 1:0.126214 2:0.135922 3:0.0291262 4:0.0776699 5:0.203883 6:0.427184
85 1:0.125 2:0.125 3:0.125 4:0.125 5:0.125 6:0.375
86 1:0.171171 2:0.027027 3:0.45045 4:0.126126 5:0.045045 6:0.18018
87 1:0.0434783 2:0.391304 3:0.304348 4:0.173913 5:0.0434783 6:0.0434783
88 1:0.0769231 2:0.0769231 3:0.0769231 4:0.153846 5:0.0769231 6:0.538462
89 1:0.106667 2:0.226667 3:0.0133333 4:0.0666667 5:0.373333 6:0.213333
90 1:0.218182 2:0.290909 3:0.0363636 4:0.0181818 5:0.0181818 6:0.418182
91 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
92 1:0.2 2:0.266667 3:0.133333 4:0.0666667 5:0.0666667 6:0.266667
93 1:0.140449 2:0.0393258 3:0.308989 4:0.275281 5:0.129213 6:0.106742
94 1:0.025641 2:0.589744 3:0.25641 4:0.025641 5:0.0769231 6:0.025641
95 1:0.135135 2:0.0135135 3:0.027027 4:0.0540541 5:0.108108 6:0.662162
96 1:0.0204082 2:0.142857 3:0.0204082 4:0.0204082 5:0.591837 6:0.204082
97 1:0.125 2:0.125 3:0.125 4:0.125 5:0.125 6:0.375
98 1:0.0769231 2:0.0769231 3:0.0384615 4:0.0769231 5:0.192308 6:0.538462
99 1:0.037037 2:0.037037 3:0.111111 4:0.037037 5:0.444444 6:0.333333
100 1:0.0238095 2:0.0238095 3:0.285714 4:0.190476 5:0.0714286 6:0.404762
101 1:0.357143 2:0.0357143 3:0.0357143 4:0.0357143 5:0.0357143 6:0.5
102 1:0.433333 2:0.025 3:0.1 4:0.258333 5:0.0666667 6:0.116667
103 1:0.025 2:0.825 3:0.025 4:0.025 5:0.075 6:0.025
104 1:0.416667 2:0.0416667 3:0.166667 4:0.0416667 5:0.166667 6:0.166667
105 1:0.384615 2:0.0769231 3:0.0769231 4:0.0769231 5:0.153846 6:0.230769
106 1:0.0625 2:0.6875 3:0.0625 4:0.0625 5:0.0625 6:0.0625
107 1:0.117647 2:0.0588235 3:0.0588235 4:0.117647 5:0.0588235 6:0.588235
108 1:0.25 2:0.0833333 3:0.0833333 4:0.0833333 5:0.25 6:0.25
109 1:0.333333 2:0.154762 3:0.107143 4:0.0119048 5:0.297619 6:0.0952381
110 1:0.268817 2:0.0107527 3:0.150538 4:0.0107527 5:0.333333 6:0.225806
111 1:0.0869565 2:0.391304 3:0.0434783 4:0.0434783 5:0.173913 6:0.26087
112 1:0.0714286 2:0.0714286 3:0.357143 4:0.0714286 5:0.0714286 6:0.357143
113 1:0.428571 2:0.0714286 3:0.0714286 4:0.142857 5:0.0714286 6:0.214286
114 1:0.0746269 2:0.134328 3:0.268657 4:0.0149254 5:0.0895522 6:0.41791
115 1:0.142857 2:0.142857 3:0.142857 4:0.142857 5:0.142857 6:0.285714
116 1:0.136364 2:0.636364 3:0.0454545 4:0.0454545 5:0.0454545 6:0.0909091
117 1:0.0640394 2:0.0935961 3:0.118227 4:0.502463 5:0.128079 6:0.0935961
118 1:0.176471 2:0.0588235 3:0.117647 4:0.0588235 5:0.0588235 6:0.529412
119 1:0.411765 2:0.0294118 3:0.0882353 4:0.0147059 5:0.397059 6:0.0588235
120 1:0.6 2:0.1 3:0.025 4:0.15 5:0.025 6:0.1
121 1:0.0769231 2:0.615385 3:0.0769231 4:0.0769231 5:0.0769231 6:0.0769231
122 1:0.0714286 2:0.0714286 3:0.0714286 4:0.285714 5:0.0714286 6:0.428571
123 1:0.1 2:0.1 3:0.5 4:0.1 5:0.1 6:0.1
124 1:0.297872 2:0.117021 3:0.0478723 4:0.00531915 5:0.335106 6:0.196809
125 1:0.153846 2:0.025641 3:0.025641 4:0.025641 5:0.435897 6:0.333333
126 1:0.0212766 2:0.0638298 3:0.276596 4:0.319149 5:0.0425532 6:0.276596
127 1:0.277778 2:0.0277778 3:0.416667 4:0.166667 5:0.0277778 6:0.0833333
128 1:0.214286 2:0.214286 3:0.214286 4:0.214286 5:0.0714286 6:0.0714286
129 1:0.411765 2:0.0588235 3:0.0588235 4:0.0588235 5:0.117647 6:0.294118
130 1:0.267857 2:0.0535714 3:0.125 4:0.0357143 5:0.142857 6:0.375
131 1:0.25 2:0.1 3:0.05 4:0.05 5:0.45 6:0.1
132 1:0.0588235 2:0.0588235 3:0.0588235 4:0.0588235 5:0.0588235 6:0.705882
