2,2013,2,4
2,2013,3,2
4,2013,5,1
2,2013,4,2
2,2013,5,2
4,2013,4,1
1,2009,10,2
2,2013,7,3
2,2013,8,3
4,2013,9,1
2,2013,9,4
1,2009,11,1
2,2013,10,2
2,2013,11,5
1,2006,7,1
1,2006,4,3
1,2006,0,1
3,2006,0,2
3,2006,2,1
1,2010,11,1
1,2010,10,2
3,2006,6,1
5,2006,4,1
3,2006,9,1
2,2009,8,1
3,2011,11,1
0,2014,7,4
0,2014,8,3
0,2014,5,3
0,2014,6,2
0,2014,3,2
0,2014,4,4
0,2014,1,6
0,2014,2,1
2,2012,0,2
4,2012,3,1
2,2012,1,1
4,2012,2,1
0,2014,0,1
4,2012,1,1
3,2010,8,3
4,2014,6,4
2,2012,3,1
3,2010,9,1
2,2012,4,1
4,2014,5,2
4,2014,4,1
3,2010,6,1
4,2014,3,5
2,2012,6,1
2,2012,8,1
4,2014,8,3
4,2014,7,1
0,2009,1,1
3,2007,0,2
3,2007,3,1
3,2007,5,1
3,2007,8,1
2,2008,7,1
0,2013,8,2
0,2013,9,1
0,2013,6,1
3,2010,0,1
0,2013,7,1
3,2010,1,1
0,2013,5,2
4,2013,3,1
2,2011,0,1
0,2013,2,1
0,2013,3,2
4,2013,2,1
2,2011,2,1
4,2013,1,1
0,2013,0,1
3,2010,3,2
2,2011,3,1
1,2011,2,1
1,2011,1,2
4,2011,8,1
1,2011,0,3
4,2011,6,1
0,2013,11,4
1,2011,10,1
3,2010,10,2
3,2010,11,2
1,2008,0,1
3,2009,10,1
4,2007,3,1
1,2011,9,2
1,2011,8,1
1,2011,7,1
1,2011,6,3
4,2010,5,1
1,2011,5,3
2,2014,0,8
2,2014,1,13
2,2014,2,4
1,2010,2,2
2,2014,3,6
2,2014,4,8
4,2012,5,1
5,2014,4,2
2,2014,5,6
2,2014,6,18
5,2014,5,6
5,2014,6,3
2,2014,7,12
2,2014,8,6
5,2014,7,2
1,2007,0,1
3,2005,8,1
4,2008,7,1
5,2014,0,1
5,2014,1,3
5,2014,2,1
1,2010,8,5
1,2010,7,1
1,2010,5,1
1,2010,4,4
2,2013,1,1
3,2013,5,10
1,2013,0,1
3,2013,6,7
3,2013,3,2
3,2013,4,2
3,2013,9,13
5,2013,5,1
3,2013,7,6
5,2013,7,1
3,2013,8,5
4,2012,11,1
0,2006,8,1
0,2006,7,1
0,2006,4,1
0,2006,2,1
1,2013,9,7
1,2013,8,5
5,2013,1,1
5,2013,2,1
1,2013,7,3
1,2013,6,3
1,2013,5,7
0,2010,8,1
3,2013,1,3
1,2013,4,1
0,2010,6,2
1,2013,3,2
3,2013,2,3
1,2013,2,1
3,2013,0,2
3,2014,4,17
3,2014,5,11
1,2012,0,2
3,2014,2,15
3,2014,3,14
3,2014,8,17
3,2014,6,20
5,2012,8,1
3,2014,7,17
1,2009,9,1
1,2009,4,1
3,2007,10,1
1,2009,1,1
0,2010,10,1
5,2009,3,1
4,2006,1,1
1,2006,10,1
1,2012,10,3
1,2012,11,1
3,2013,11,14
3,2013,10,10
1,2012,9,3
1,2012,8,2
1,2012,6,1
1,2012,5,3
3,2014,0,8
3,2014,1,23
1,2012,4,2
1,2012,3,4
5,2012,1,2
1,2012,2,2
0,2011,0,2
3,2011,7,1
2,2011,4,1
3,2011,8,2
2,2011,6,2
3,2011,5,1
2,2011,7,3
3,2011,6,6
2,2011,8,2
2,2011,9,1
3,2011,9,2
3,2008,1,1
2,2007,2,1
2,2007,4,1
2,2007,7,1
3,2008,7,1
4,2013,11,1
4,2013,10,1
4,2014,2,2
3,2011,3,1
3,2011,4,2
0,2012,4,2
4,2014,1,4
4,2014,0,3
0,2012,1,2
3,2011,1,2
3,2011,2,1
3,2012,6,1
2,2010,5,1
3,2012,7,2
3,2012,4,3
3,2012,5,1
2,2010,9,2
3,2012,9,3
1,2007,10,1
1,2013,10,3
1,2013,11,4
3,2012,10,4
3,2012,11,1
3,2009,1,1
3,2009,0,2
2,2006,3,1
2,2006,4,1
3,2009,3,1
2,2006,5,1
3,2009,5,1
3,2009,6,2
3,2009,9,1
1,2014,8,11
1,2014,7,4
1,2014,6,12
5,2010,5,1
1,2014,5,15
1,2014,4,10
0,2011,7,1
1,2014,3,9
3,2012,3,2
1,2014,2,5
1,2014,1,10
1,2014,0,8
