1,0.0198151,0.470277,0.323646,0.0171731,0.110964,0.0581242,1,Bug-c17d7d02-ca33-4dd4-bb3e-726195d7785f,1410837920932
2,0.297323,0.115679,0.232314,0.0200765,0.309751,0.0248566,4,Bug-71d60591-9190-41af-97f2-86d05ccc77ed,1249433559988
3,0.047619,0.333333,0.380952,0.047619,0.142857,0.047619,2,Bug-4bea84d3-6d62-45f0-a777-0fa3b572ef8a,1397040809521
4,0.722892,0.144578,0.060241,0.0481928,0.0120482,0.0120482,0,Bug-95dbb9e0-45c7-4028-aa34-fb096e08d825,1356686566919
5,0.661765,0.279412,0.0147059,0.0147059,0.0147059,0.0147059,0,Bug-6442b914-1f04-4150-b6ec-13125bd92740,1328743879193
6,0.0408719,0.0027248,0.520436,0.381471,0.0299728,0.0245232,2,Bug-5d26ad97-8fa8-41a5-bdee-880abcfa4ecd,1382062371349
7,0.166811,0.529105,0.0434405,0.00347524,0.230235,0.0269331,1,Bug-0b4cde46-4b26-45dd-b36e-d864199409ba,1334693212065
8,0.210345,0.706897,0.0689655,0.00689655,0.00344828,0.00344828,1,Bug-483ba06f-296a-4758-84fe-b85d8d058b7b,1392391898196
9,0.0165289,0.00206612,0.0950413,0.570248,0.0268595,0.289256,3,Bug-0b450bb4-23f1-43c4-ad2d-79ea3f48716b,1391733874284
10,0.135135,0.027027,0.405405,0.027027,0.162162,0.243243,2,Bug-8209625d-611d-41f8-8108-da8f9779f6e8,1363349178648
11,0.109023,0.834586,0.0037594,0.0037594,0.0075188,0.0413534,1,Bug-2510dc31-5105-4c4f-a75b-15117b45bd58,1367972215108
12,0.45,0.0366667,0.0466667,0.0766667,0.386667,0.00333333,0,Bug-ea464123-6b95-4b4e-8078-9619895d414c,1349842612090
13,0.0625,0.0625,0.375,0.0625,0.375,0.0625,2,Bug-51cbeaf1-1100-4050-9247-349d7324b55a,1401057785711
14,0.593023,0.0465116,0.139535,0.0116279,0.197674,0.0116279,0,Bug-96fb7313-2126-4cf6-841c-f043f2d2ec36,1358379415756
15,0.14652,0.813187,0.029304,0.003663,0.003663,0.003663,1,Bug-d662d535-b210-4c02-8ab3-9aedbace5143,1362245595748
16,0.219355,0.529032,0.2,0.0107527,0.0193548,0.0215054,1,Bug-65baaa7d-46c6-4bd2-8c56-0eb3c6661ceb,1350124140114
