1,0.416667,0.1875,0.125,0.229167,0.0208333,0.0208333
2,0.2,0.0285714,0.685714,0.0285714,0.0285714,0.0285714
3,0.09689,0.0442584,0.155502,0.196172,0.415072,0.0921053
4,0.142857,0.047619,0.285714,0.047619,0.047619,0.428571
5,0.153846,0.307692,0.0769231,0.0769231,0.230769,0.153846
6,0.375,0.125,0.125,0.125,0.125,0.125
7,0.375,0.125,0.125,0.125,0.125,0.125
8,0.0952381,0.047619,0.428571,0.047619,0.0952381,0.285714
9,0.0769231,0.230769,0.461538,0.0769231,0.0769231,0.0769231
10,0.375,0.125,0.125,0.125,0.125,0.125
11,0.157895,0.0263158,0.552632,0.0263158,0.0263158,0.210526
12,0.125,0.0416667,0.0416667,0.25,0.0416667,0.5
13,0.333333,0.166667,0.0333333,0.116667,0.2,0.15
14,0.571429,0.142857,0.0714286,0.0714286,0.0714286,0.0714286
15,0.222222,0.111111,0.111111,0.111111,0.111111,0.333333
16,0.153846,0.0153846,0.0153846,0.0153846,0.0153846,0.784615
17,0.375,0.125,0.125,0.125,0.125,0.125
18,0.339623,0.0188679,0.150943,0.188679,0.0943396,0.207547
19,0.333333,0.111111,0.111111,0.222222,0.111111,0.111111
20,0.353383,0.0075188,0.135338,0.0902256,0.0075188,0.406015
21,0.422886,0.159204,0.343284,0.00497512,0.0199005,0.0497512
22,0.5,0.1,0.1,0.1,0.1,0.1
23,0.555556,0.0555556,0.111111,0.166667,0.0555556,0.0555556
24,0.457447,0.0478723,0.0904255,0.255319,0.00531915,0.143617
25,0.0606061,0.030303,0.636364,0.030303,0.0606061,0.181818
26,0.531915,0.0212766,0.0212766,0.170213,0.0212766,0.234043
27,0.72,0.04,0.04,0.12,0.04,0.04
28,0.0875,0.1125,0.275,0.1625,0.35,0.0125
29,0.5,0.1,0.1,0.1,0.1,0.1
30,0.375,0.125,0.125,0.125,0.125,0.125
31,0.666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667
32,0.375,0.125,0.125,0.125,0.125,0.125
33,0.375,0.125,0.125,0.125,0.125,0.125
34,0.375,0.125,0.125,0.125,0.125,0.125
35,0.216667,0.0166667,0.133333,0.133333,0.233333,0.266667
36,0.363636,0.272727,0.0909091,0.0909091,0.0909091,0.0909091
37,0.25,0.416667,0.0833333,0.0833333,0.0833333,0.0833333
38,0.375,0.125,0.125,0.125,0.125,0.125
