CWE-77,2013,73
CWE-77,2012,63
CWE-77,2015,37
CWE-77,2014,77
CWE-77,2016,5
CWE-77,2011,59
CWE-77,2010,48
NA,2012,15
CWE-77,2009,73
NA,2011,24
NA,2010,93
NA,2015,2
NA,2014,11
NA,2013,5
CWE-89,2003,43
CWE-89,2002,46
CWE-89,2005,274
CWE-134,1999,120
CWE-89,2004,91
CWE-264,2010,87
CWE-264,2012,107
CWE-89,2001,27
CWE-264,2011,107
CWE-89,2000,12
CWE-264,2014,93
CWE-264,2013,104
CWE-264,2016,2
CWE-264,2015,66
NA,2009,68
NA,2008,121
NA,2007,104
NA,2006,95
NA,2000,1
CWE-89,2007,253
NA,2005,15
CWE-89,2006,398
CWE-310,1999,56
NA,2004,2
CWE-89,2009,286
NA,2003,1
CWE-89,2008,481
NA,2002,1
CWE-89,2014,207
CWE-89,2013,132
CWE-89,2016,3
CWE-89,2015,125
CWE-89,2010,194
CWE-264,2001,145
CWE-89,2012,132
CWE-264,2000,125
CWE-89,2011,98
CWE-264,2003,104
CWE-264,2002,136
CWE-264,2005,239
CWE-264,2004,157
CWE-264,2007,169
CWE-264,2006,129
CWE-16,1999,30
CWE-264,2009,100
CWE-22,1999,9
CWE-264,2008,224
CWE-77,2002,105
CWE-77,2001,112
CWE-77,2004,103
CWE-77,2003,74
CWE-77,2006,178
CWE-77,2005,181
CWE-77,2008,135
CWE-77,2007,177
CWE-77,2000,81
CWE-79,2015,226
CWE-79,2016,29
CWE-79,2011,175
CWE-79,2012,144
CWE-79,2013,129
CWE-17,1999,46
CWE-79,2014,109
CWE-79,2010,175
CWE-94,2013,37
CWE-94,2012,56
CWE-94,2011,45
CWE-94,2010,21
CWE-94,2016,2
CWE-94,2015,60
CWE-119,1999,47
CWE-94,2014,55
CWE-94,2002,27
CWE-94,2001,15
CWE-94,2000,7
CWE-94,2009,65
CWE-94,2008,145
CWE-94,2007,129
CWE-94,2006,130
CWE-94,2005,80
CWE-17,1999,4
CWE-94,2004,31
CWE-94,2003,12
CWE-200,1999,104
CWE-79,2008,128
CWE-79,2009,147
CWE-79,2004,76
CWE-79,2005,101
CWE-79,2006,96
CWE-79,2007,143
CWE-79,2000,25
CWE-79,2001,41
CWE-79,2002,76
CWE-79,2003,39
NA,1999,6
CWE-119,1999,10
CWE-17,2003,47
CWE-17,2004,85
CWE-17,2001,40
CWE-79,1999,3
CWE-17,2002,44
CWE-17,2000,16
CWE-17,2009,177
CWE-17,2007,192
CWE-17,2008,145
CWE-17,2005,143
CWE-17,2006,179
CWE-255,1999,89
CWE-287,1999,51
NA,2007,68
NA,2008,51
NA,2009,33
NA,2003,3
NA,2004,21
NA,2005,31
NA,2006,53
NA,2000,1
NA,2001,1
NA,2002,5
CWE-22,2014,112
CWE-22,2013,80
CWE-22,2012,68
CWE-22,2011,86
CWE-22,2010,88
CWE-22,2016,6
CWE-22,2015,87
