T33,2013,73
T33,2012,63
T33,2015,37
T33,2014,77
T33,2016,5
T33,2011,59
T33,2010,48
T16,2012,15
T33,2009,73
T16,2011,24
T16,2010,93
T16,2015,2
T16,2014,11
T16,2013,5
T5,2003,43
T5,2002,46
T5,2005,274
T11,1999,120
T5,2004,91
T9,2010,87
T9,2012,107
T5,2001,27
T9,2011,107
T5,2000,12
T9,2014,93
T9,2013,104
T9,2016,2
T9,2015,66
T16,2009,68
T16,2008,121
T16,2007,104
T16,2006,95
T16,2000,1
T5,2007,253
T16,2005,15
T5,2006,398
T35,1999,56
T16,2004,2
T5,2009,286
T16,2003,1
T5,2008,481
T16,2002,1
T5,2014,207
T5,2013,132
T5,2016,3
T5,2015,125
T5,2010,194
T9,2001,145
T5,2012,132
T9,2000,125
T5,2011,98
T9,2003,104
T9,2002,136
T9,2005,239
T9,2004,157
T9,2007,169
T9,2006,129
T4,1999,30
T9,2009,100
T18,1999,9
T9,2008,224
T33,2002,105
T33,2001,112
T33,2004,103
T33,2003,74
T33,2006,178
T33,2005,181
T33,2008,135
T33,2007,177
T33,2000,81
T25,2015,226
T25,2016,29
T25,2011,175
T25,2012,144
T25,2013,129
T15,1999,46
T25,2014,109
T25,2010,175
T24,2013,37
T24,2012,56
T24,2011,45
T24,2010,21
T24,2016,2
T24,2015,60
T14,1999,47
T24,2014,55
T24,2002,27
T24,2001,15
T24,2000,7
T24,2009,65
T24,2008,145
T24,2007,129
T24,2006,130
T24,2005,80
T8,1999,4
T24,2004,31
T24,2003,12
T3,1999,104
T25,2008,128
T25,2009,147
T25,2004,76
T25,2005,101
T25,2006,96
T25,2007,143
T25,2000,25
T25,2001,41
T25,2002,76
T25,2003,39
T39,1999,6
T23,1999,10
T15,2003,47
T15,2004,85
T15,2001,40
T1,1999,3
T15,2002,44
T15,2000,16
T15,2009,177
T15,2007,192
T15,2008,145
T15,2005,143
T15,2006,179
T10,1999,89
T19,1999,51
T13,2007,68
T13,2008,51
T13,2009,33
T13,2003,3
T13,2004,21
T13,2005,31
T13,2006,53
T13,2000,1
T13,2001,1
T13,2002,5
T36,2014,112
T36,2013,80
T36,2012,68
T36,2011,86
T36,2010,88
T36,2016,6
T36,2015,87
T11,2000,176
T13,2014,38
T13,2015,28
T13,2016,2
T11,2004,270
T13,2010,21
T11,2003,198
T13,2011,57
T11,2002,278
T13,2012,34
T11,2001,179
T13,2013,81
T11,2008,213
T22,1999,1
T11,2007,267
T11,2006,279
T11,2005,260
T36,2003,51
T36,2002,132
T36,2001,127
T36,2000,79
T36,2009,72
T36,2008,146
T36,2007,131
T36,2006,159
T36,2005,131
T36,2004,93
T12,1999,25
T2,2013,8
T2,2012,12
T2,2011,13
T2,2010,66
T23,2001,9
T23,2000,4
T23,2005,112
T23,2004,73
T23,2003,34
T0,2000,1
T23,2002,40
T23,2009,255
T23,2008,236
T23,2007,240
T23,2006,197
T38,2010,71
T6,1999,22
T38,2012,161
T0,2008,1
T38,2011,82
T38,2014,215
T38,2013,170
T38,2016,7
T38,2015,199
T0,2009,2
T2,2016,1
T2,2015,8
T2,2014,13
T2,2002,32
T2,2001,5
T11,2009,148
T0,2011,12
T0,2010,4
T21,2001,7
T0,2016,2
T21,2000,3
T21,2003,9
T38,2001,1
T21,2002,9
T11,2011,91
T21,2005,307
T38,2003,4
T0,2013,18
T21,2004,63
T11,2010,92
T0,2012,57
T38,2002,2
T21,2007,380
T0,2015,16
T38,2005,17
T0,2014,1416
T21,2006,456
T38,2004,8
T11,2015,69
T38,2007,75
T11,2014,75
T2,2009,101
T38,2006,24
T2,2008,202
T38,2009,89
T11,2013,86
T27,1999,1
T2,2007,583
T38,2008,115
T11,2012,106
T2,2006,866
T2,2005,106
T2,2004,45
T2,2003,23
T11,2016,9
T18,2005,102
T18,2004,44
T18,2007,219
T18,2006,183
T18,2001,30
T18,2000,22
T18,2003,13
T18,2002,32
T28,2013,266
T21,2009,360
T21,2008,936
T28,2012,295
T28,2011,229
T28,2010,137
T18,2009,183
T18,2008,330
T28,2016,57
T28,2015,911
T28,2014,407
T21,2012,93
T21,2011,55
T21,2014,60
T21,2013,43
T21,2015,37
T30,1999,18
T21,2010,363
T18,2015,28
T28,2009,45
T28,2008,5
T28,2007,2
T18,2012,49
T17,1999,3
T18,2011,33
T18,2014,48
T18,2013,25
T28,2002,2
T28,2006,1
T31,2009,111
T28,2005,2
T31,2008,82
T31,2007,118
T7,2010,132
T31,2016,11
T31,2015,114
T31,2014,167
T31,2013,163
T31,2012,127
T31,2011,95
T31,2010,94
T20,1999,11
T18,2010,177
T7,2016,40
T7,2015,311
T7,2014,394
T7,2013,328
T7,2012,241
T7,2011,160
T7,2009,147
T7,2008,185
T31,2006,91
T31,2005,99
T37,1999,92
T31,2004,80
T31,2003,46
T31,2002,82
T14,2001,63
T14,2000,44
T31,2001,45
T14,2003,103
T31,2000,33
T14,2002,112
T7,2007,156
T14,2005,197
T7,2006,136
T14,2004,166
T14,2007,429
T7,2005,107
T14,2006,238
T7,2004,56
T14,2009,237
T7,2003,28
T14,2008,285
T7,2002,34
T7,2001,3
T7,2000,2
T14,2010,139
T14,2012,135
T14,2011,186
T14,2014,106
T14,2013,108
T14,2016,8
T2,1999,2
T14,2015,94
T26,2000,158
T26,2002,146
T26,2001,150
T26,2004,81
T26,2003,109
T3,2000,68
T26,2006,78
T26,2005,100
T3,2001,73
T3,2002,123
T26,2008,47
T26,2007,75
T3,2003,52
T21,1999,5
T26,2009,26
T3,2008,170
T3,2009,88
T3,2004,70
T35,2012,161
T35,2013,168
T3,2005,159
T3,2006,175
T35,2010,110
T3,2007,128
T35,2011,119
T35,2016,13
T35,2014,183
T35,2015,193
T25,1999,26
T26,2011,23
T26,2010,29
T23,2012,218
T26,2013,24
T23,2011,219
T26,2012,15
T23,2010,275
T26,2015,40
T26,2014,25
T23,2016,24
T23,2015,197
T23,2014,213
T23,2013,210
T39,2016,7
T39,2014,52
T39,2015,26
T39,2012,58
T39,2013,48
T39,2010,30
T39,2011,24
T10,2008,144
T10,2009,102
T10,2015,193
T10,2016,25
T10,2013,209
T10,2014,222
T29,1999,80
T10,2011,110
T10,2012,136
T33,1999,72
T10,2010,127
T3,2011,54
T3,2012,74
T3,2013,91
T3,2014,134
T3,2010,53
T10,2006,121
T10,2007,134
T10,2004,72
T10,2005,112
T13,1999,3
T35,2001,58
T10,2002,95
T3,2015,68
T35,2002,84
T10,2003,51
T10,2000,51
T10,2001,95
T35,2000,47
T35,2005,88
T35,2006,107
T35,2003,46
T35,2004,58
T35,2009,150
T35,2007,110
T35,2008,97
T4,2006,281
T4,2005,116
T4,2008,169
T4,2007,239
T4,2009,82
T9,1999,220
T34,2008,42
T34,2009,49
T34,2006,16
T4,2000,3
T34,2007,21
T34,2004,13
T4,2002,18
T34,2005,26
T4,2001,12
T4,2004,45
T34,2002,2
T4,2003,6
T34,2003,6
T34,2000,4
T34,2001,2
T15,2014,248
T15,2015,245
T15,2012,125
T15,2013,266
T15,2010,195
T15,2011,173
T4,2016,1
T15,2016,16
T4,2011,54
T4,2010,84
T4,2013,83
T34,2015,185
T4,2012,108
T34,2016,21
T34,2013,133
T4,2015,43
T34,2014,87
T4,2014,77
T34,2011,125
T34,2012,85
T34,2010,223
T29,2000,35
T8,2016,31
T29,2001,52
T29,2002,75
T29,2003,40
T8,2012,269
T29,2004,50
T32,2008,36
T8,2013,262
T29,2005,63
T32,2009,46
T8,2014,199
T29,2006,47
T29,2007,106
T8,2015,230
T29,2008,101
T6,2001,29
T6,2002,81
T29,2009,95
T8,2010,275
T8,2011,459
T6,2000,31
T6,2005,106
T6,2006,171
T6,2003,33
T6,2004,66
T6,2009,168
T6,2007,195
T6,2008,282
T32,2010,54
T32,2015,4
T32,2011,7
T32,2012,6
T32,2013,80
T32,2014,13
T8,2005,60
T8,2006,107
T8,2007,111
T8,2008,108
T8,2001,2
T8,2002,6
T8,2003,14
T8,2004,34
T6,2012,198
T6,2013,209
T6,2010,91
T6,2011,87
T8,2000,2
T6,2016,7
T6,2014,209
T6,2015,165
T17,2010,122
T27,2004,2
T27,2005,33
T17,2011,80
T17,2012,69
T17,2013,94
T17,2014,35
T17,2015,63
T27,2001,2
T17,2016,11
T32,2004,5
T24,1999,9
T32,2005,14
T32,2006,29
T32,2007,46
T27,2008,144
T8,2009,119
T27,2009,111
T27,2006,128
T32,2002,3
T27,2007,96
T30,2011,151
T30,2012,31
T30,2010,16
T30,2015,12
T30,2016,7
T19,2011,89
T30,2013,23
T19,2010,82
T30,2014,24
T20,2003,28
T20,2004,58
T20,2005,75
T20,2006,127
T20,2000,4
T20,2001,9
T20,2002,28
T17,2000,2
T17,2001,3
T17,2002,5
T17,2003,9
T17,2004,9
T17,2005,16
T17,2006,62
T19,2013,236
T30,2008,51
T17,2007,57
T19,2012,142
T17,2008,76
T30,2009,40
T19,2015,342
T17,2009,88
T30,2006,161
T19,2014,284
T30,2007,103
T19,2016,29
T29,2011,97
T30,2000,40
T39,2005,57
T29,2012,141
T39,2006,50
T30,2001,19
T28,1999,1
T29,2013,238
T39,2003,16
T29,2014,206
T39,2004,18
T29,2015,252
T30,2004,81
T39,2001,2
T30,2005,162
T29,2016,17
T39,2002,17
T30,2002,63
T30,2003,36
T20,2014,186
T20,2015,171
T20,2016,14
T31,1999,34
T20,2010,128
T39,2009,25
T20,2011,123
T34,1999,11
T20,2012,210
T39,2007,64
T39,2008,36
T20,2013,255
T20,2007,119
T20,2008,167
T20,2009,99
T29,2010,106
T7,1999,3
T1,2004,145
T1,2005,436
T1,2002,62
T1,2003,48
T1,2008,507
T1,2009,331
T1,2006,798
T1,2007,417
T37,2009,165
T37,2005,224
T1,2000,1
T37,2006,239
T1,2001,9
T37,2007,266
T37,2008,246
T37,2001,98
T37,2002,134
T37,2003,98
T37,2004,214
T37,2000,98
T19,2000,29
T19,2009,77
T19,2002,73
T19,2001,42
T5,1999,7
T19,2004,58
T19,2003,22
T19,2006,71
T19,2005,70
T19,2008,60
T19,2007,85
T12,2001,12
T12,2000,31
T22,2016,12
T22,2014,287
T22,2015,208
T22,2012,298
T22,2013,243
T22,2010,184
T12,2009,117
T22,2011,154
T12,2008,137
T12,2007,101
T12,2006,75
T26,1999,284
T12,2005,68
T12,2004,25
T12,2003,26
T12,2002,53
T27,2015,438
T27,2016,206
T27,2013,464
T27,2014,431
T27,2011,245
T27,2012,412
T27,2010,275
T22,2009,210
T22,2007,202
T12,2012,116
T22,2008,247
T12,2011,122
T22,2005,196
T12,2010,83
T22,2006,316
T22,2003,46
T22,2004,103
T22,2001,21
T22,2002,108
T1,2015,134
T36,1999,67
T1,2016,3
T1,2013,131
T1,2014,247
T12,2016,19
T12,2015,231
T12,2014,195
T12,2013,176
T37,2016,31
T1,2011,154
T1,2012,240
T1,2010,234
T37,2012,185
T37,2013,205
T37,2014,213
T37,2015,188
T37,2010,171
T37,2011,162
