2013-1497,T27
2006-6947,T35
2012-0463,T8
2013-3762,T27
2007-0506,T6
2007-5807,T14
2005-3855,T5
2008-4673,T2
2016-1882,T37
2013-3985,T35
2007-4676,T23
2015-1561,T33
2006-0407,T4
2007-5702,T7
2006-1750,T1
2008-4473,T14
2002-2134,T2
2009-1500,T5
2007-1842,T18
2002-0698,T11
2012-4950,T7
2008-4416,T15
2012-1236,T38
2000-0931,T11
2014-7631,T0
2004-1321,T3
2011-1902,T36
2008-0813,T18
2005-3205,T22
2011-3281,T29
2012-3209,T27
2008-3166,T2
2008-4381,T37
2014-5077,T37
2004-2187,T20
2009-1974,T27
2006-3795,T7
2005-2251,T24
2014-7405,T0
2008-6462,T21
2012-6143,T33
2008-2809,T35
2007-4946,T16
2013-2902,T8
2000-1219,T12
2012-5458,T15
2003-1052,T26
2007-3192,T3
2010-3977,T1
2007-5537,T29
2014-2604,T20
2007-6384,T12
2013-4019,T7
2015-5127,T28
2004-0914,T13
2008-4017,T27
2007-4090,T22
2015-3935,T1
2003-0489,T12
2011-2358,T25
2000-0461,T29
2009-4566,T16
2013-6727,T35
2004-0824,T9
2010-3976,T34
2009-4766,T3
2006-3831,T3
2011-3569,T27
2011-1185,T25
1999-1130,T36
2007-1088,T26
2013-4142,T39
2008-1165,T16
2015-5214,T23
2006-2237,T19
2002-2186,T30
2006-1936,T11
2015-8361,T20
2012-3559,T20
2002-2360,T24
2013-2130,T31
2006-6893,T4
2006-0999,T35
2014-2773,T28
2012-0314,T38
2007-0664,T9
2008-4735,T2
2007-4803,T14
2008-0375,T19
2008-6104,T21
2011-2885,T31
2013-6150,T39
2006-5142,T14
2013-4439,T35
2006-0553,T6
2012-3952,T1
2011-4089,T9
2005-0125,T9
2000-0608,T37
1999-1368,T33
2007-2854,T5
2014-6573,T27
2013-0368,T27
2014-3181,T15
2004-0790,T32
2009-2979,T23
2013-1970,T39
2010-5186,T31
2014-3073,T20
2014-3541,T12
2014-4761,T6
2015-0643,T29
2013-1320,T17
2003-0450,T11
2012-2250,T37
2004-1123,T37
2006-3832,T21
2001-1216,T11
2016-0414,T27
2002-0610,T26
2015-8510,T22
2006-2162,T14
2014-7880,T8
2006-6374,T7
2008-1890,T21
2008-7136,T11
2010-0769,T6
2010-3182,T34
2008-5225,T1
2013-0580,T38
2010-4158,T15
2012-3451,T31
2007-1054,T22
2006-1125,T3
2002-0842,T3
2014-9343,T7
2006-2382,T23
2012-4083,T29
2006-3910,T8
2006-6436,T7
2002-0063,T14
2002-0676,T12
2005-3259,T5
2012-3218,T27
2002-2140,T29
2011-2695,T15
2000-0326,T3
2003-1311,T25
2015-1899,T29
2012-5138,T8
2015-2172,T6
2008-0930,T9
2011-0640,T15
2007-6145,T20
2010-2603,T10
2008-5057,T16
2006-5638,T5
2012-1154,T3
2012-5889,T22
2014-5547,T0
2013-1993,T23
2010-0180,T3
2014-2350,T19
2010-4456,T27
2006-2739,T2
2011-2359,T8
2007-4643,T11
2014-4632,T35
2004-1170,T21
2012-0695,T8
2014-0961,T38
2013-1591,T4
2007-5298,T2
2012-0163,T12
2014-2357,T37
2012-0299,T20
2004-0703,T6
2008-3374,T5
2014-4199,T9
2012-6153,T4
2009-2737,T6
2014-2138,T7
2006-0084,T7
2008-5552,T4
2009-2196,T7
2013-6378,T15
2008-6081,T21
2015-6692,T28
2014-4522,T1
2007-5938,T15
2015-8436,T28
2012-6045,T1
2012-1995,T20
2012-0641,T25
2002-0767,T9
2014-7121,T0
2011-2830,T8
2012-3105,T8
2000-1145,T9
2009-4295,T10
2012-3240,T6
2013-4986,T14
2013-0086,T15
2015-1352,T37
2004-1391,T26
2010-2636,T22
2009-0815,T37
1999-0046,T26
2011-4827,T1
2009-0745,T15
2009-4055,T37
2007-1078,T2
2007-1884,T23
2015-2431,T17
2006-4580,T6
2004-1651,T22
2006-4042,T21
2005-1945,T22
2007-1525,T24
2009-2515,T34
2002-0362,T14
2013-1231,T19
2011-3150,T35
1999-0232,T11
2002-1098,T35
2008-0212,T37
2006-3885,T36
2013-4498,T6
2012-3918,T29
2012-4491,T6
2011-3436,T10
2011-5003,T14
2008-2955,T37
2013-0778,T8
2004-0132,T2
2005-3461,T27
2010-4984,T5
2011-0206,T23
2011-1556,T21
1999-0410,T26
2009-3248,T38
2010-1488,T15
2008-1964,T14
2008-2131,T22
2007-1531,T37
2006-6845,T1
2014-9575,T33
2015-3228,T23
2011-4006,T29
2008-7081,T6
2015-4676,T5
1999-1218,T9
2008-3142,T23
2001-1181,T9
2015-3722,T19
2007-6461,T22
2012-2094,T7
2013-2230,T37
2008-7096,T10
2014-1264,T9
2012-1754,T27
2003-0045,T31
2002-0367,T26
1999-0110,T39
2016-0854,T24
2008-3354,T2
2005-0599,T29
