1,1353515213568,2012-11-21 11:26:53 UTC,2012-11-21
2,1410522026656,2014-09-12 07:40:26 UTC,2014-09-12
3,1381407555430,2013-10-10 08:19:15 UTC,2013-10-10
4,1384651714199,2013-11-16 20:28:34 UTC,2013-11-16
5,1406207091379,2014-07-24 09:04:51 UTC,2014-07-24
6,1376652205154,2013-08-16 07:23:25 UTC,2013-08-16
7,1382479702550,2013-10-22 18:08:22 UTC,2013-10-22
8,1381456053129,2013-10-10 21:47:33 UTC,2013-10-10
9,1380101393791,2013-09-25 05:29:53 UTC,2013-09-25
10,1398356602546,2014-04-24 12:23:22 UTC,2014-04-24
11,1406530598390,2014-07-28 02:56:38 UTC,2014-07-28
12,1355758149220,2012-12-17 10:29:09 UTC,2012-12-17
13,1382964833077,2013-10-28 08:53:53 UTC,2013-10-28
14,1404392191767,2014-07-03 08:56:31 UTC,2014-07-03
15,1381244203966,2013-10-08 10:56:43 UTC,2013-10-08
16,1385589446740,2013-11-27 16:57:26 UTC,2013-11-27
17,1402039922736,2014-06-06 03:32:02 UTC,2014-06-06
18,1399038115900,2014-05-02 09:41:55 UTC,2014-05-02
19,1398691728757,2014-04-28 09:28:48 UTC,2014-04-28
20,1380054732549,2013-09-24 16:32:12 UTC,2013-09-24
21,1370206449858,2013-06-02 16:54:09 UTC,2013-06-02
22,1391432209736,2014-02-03 07:56:49 UTC,2014-02-03
23,1395858450068,2014-03-26 14:27:30 UTC,2014-03-26
24,1371828484623,2013-06-21 11:28:04 UTC,2013-06-21
25,1383567835886,2013-11-04 07:23:55 UTC,2013-11-04
26,1384841252929,2013-11-19 01:07:32 UTC,2013-11-19
27,1380610142723,2013-10-01 02:49:02 UTC,2013-10-01
28,1398259854545,2014-04-23 09:30:54 UTC,2014-04-23
29,1381226422349,2013-10-08 06:00:22 UTC,2013-10-08
30,1368792191771,2013-05-17 08:03:11 UTC,2013-05-17
31,1378903432704,2013-09-11 08:43:52 UTC,2013-09-11
32,1409042504841,2014-08-26 04:41:44 UTC,2014-08-26
33,1405415534121,2014-07-15 05:12:14 UTC,2014-07-15
34,1405542378232,2014-07-16 16:26:18 UTC,2014-07-16
35,1410897512995,2014-09-16 15:58:32 UTC,2014-09-16
36,1400681578839,2014-05-21 10:12:58 UTC,2014-05-21
37,1361855159951,2013-02-26 00:05:59 UTC,2013-02-26
38,1402417957858,2014-06-10 12:32:37 UTC,2014-06-10
39,1386932829930,2013-12-13 06:07:09 UTC,2013-12-13
40,1391536345222,2014-02-04 12:52:25 UTC,2014-02-04
41,1403645858162,2014-06-24 17:37:38 UTC,2014-06-24
42,1373297120386,2013-07-08 11:25:20 UTC,2013-07-08
43,1386931284584,2013-12-13 05:41:24 UTC,2013-12-13
44,1396736773011,2014-04-05 18:26:13 UTC,2014-04-05
45,1379596778301,2013-09-19 09:19:38 UTC,2013-09-19
46,1378708035931,2013-09-09 02:27:15 UTC,2013-09-09
47,1393589865495,2014-02-28 07:17:45 UTC,2014-02-28
48,1394791887107,2014-03-14 06:11:27 UTC,2014-03-14
49,1410634598993,2014-09-13 14:56:38 UTC,2014-09-13
50,1391758745782,2014-02-07 02:39:05 UTC,2014-02-07
51,1381910695011,2013-10-16 04:04:55 UTC,2013-10-16
52,1368618261444,2013-05-15 07:44:21 UTC,2013-05-15
53,1407931562940,2014-08-13 08:06:02 UTC,2014-08-13
54,1404402553400,2014-07-03 11:49:13 UTC,2014-07-03
55,1400121263690,2014-05-14 22:34:23 UTC,2014-05-14
56,1393944098054,2014-03-04 09:41:38 UTC,2014-03-04
57,1379313917798,2013-09-16 02:45:17 UTC,2013-09-16
58,1390908047678,2014-01-28 06:20:47 UTC,2014-01-28
59,1404140060557,2014-06-30 10:54:20 UTC,2014-06-30
60,1383323053452,2013-11-01 12:24:13 UTC,2013-11-01
61,1403085035250,2014-06-18 05:50:35 UTC,2014-06-18
62,1395149052072,2014-03-18 09:24:12 UTC,2014-03-18
63,1390574064463,2014-01-24 09:34:24 UTC,2014-01-24
64,1380807493853,2013-10-03 09:38:13 UTC,2013-10-03
65,1399645205459,2014-05-09 10:20:05 UTC,2014-05-09
66,1396619429845,2014-04-04 09:50:29 UTC,2014-04-04
67,1373976729180,2013-07-16 08:12:09 UTC,2013-07-16
