CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-40355608-38aa-4eb2-b9c7-35e42dc75091,It seems to be a regression caused by https://github.com/apache/karaf/commit/b19d304917fbbe0e4dd41a458a7cab8ddfe6b925#diff-1fee0eb68c0526389bf810851b1ae733 because the bootFeaturesInstalled flag has been deleted.,1395950863518
http://sealytics.github.io/ontologies/release-model#Bug-085fe07a-ac3d-4e44-a71f-23412978e2b9,"We should create the Jira at Pax Exam too, as the Karaf container is now part of Pax Exam (karaf-pax-exam is now deprecated).",1394108798672
http://sealytics.github.io/ontologies/release-model#Bug-085fe07a-ac3d-4e44-a71f-23412978e2b9,"[~jbonofre] https://ops4j1.jira.com/browse/PAXEXAM-609 was resolved and the PR was merged. Could you merge https://github.com/apache/karaf/pull/32 too?

regards
Grzegorz Grzybek",1394108798672
http://sealytics.github.io/ontologies/release-model#Bug-085fe07a-ac3d-4e44-a71f-23412978e2b9,Fixed on karaf-2.3.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=b8b5a2bf6df1c76d34381958b6aeccd4e9bd4680,1394108798672
http://sealytics.github.io/ontologies/release-model#Bug-085fe07a-ac3d-4e44-a71f-23412978e2b9,PR: https://github.com/apache/karaf/pull/32,1394108798672
http://sealytics.github.io/ontologies/release-model#Bug-085fe07a-ac3d-4e44-a71f-23412978e2b9,PR on the way ;),1394108798672
http://sealytics.github.io/ontologies/release-model#Bug-085fe07a-ac3d-4e44-a71f-23412978e2b9,"Yes, I&apos;m doing it now.",1394108798672
http://sealytics.github.io/ontologies/release-model#Bug-085fe07a-ac3d-4e44-a71f-23412978e2b9,Issue for Ops4J version: https://ops4j1.jira.com/browse/PAXEXAM-609,1394108798672
http://sealytics.github.io/ontologies/release-model#Bug-0d7a2e65-cd3d-4650-b7e1-72442cd42bfe,"Note that doing:

{code}
feature:uninstall transaction
feature:uninstall jpa
{code}

does not cleanly remove the invalid bundles.",1345029516980
http://sealytics.github.io/ontologies/release-model#Bug-0d7a2e65-cd3d-4650-b7e1-72442cd42bfe,"Related to #KARAF-1729, where some bundles got installed in an invalid state.",1345029516980
http://sealytics.github.io/ontologies/release-model#Bug-0d7a2e65-cd3d-4650-b7e1-72442cd42bfe,"There is a simpler use case, I simply can&apos;t install `jpa` or `transaction` feature:

{code}
karaf@root()&gt; feature:install -v transaction
Installing feature transaction 1.0.0
Installing bundle mvn:org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1
Error executing command: Bundle installation rejected by hook.
{code}
",1345029516980
http://sealytics.github.io/ontologies/release-model#Bug-a84d64fc-f4db-494f-a1b8-25069f614998,Fixed on trunk: http://svn.apache.org/viewvc?view=revision&amp;revision=1541216,1384285744681
http://sealytics.github.io/ontologies/release-model#Bug-a84d64fc-f4db-494f-a1b8-25069f614998,Fixed on karaf-2.x: http://svn.apache.org/viewvc?view=revision&amp;revision=1541947,1384285744681
http://sealytics.github.io/ontologies/release-model#Bug-a84d64fc-f4db-494f-a1b8-25069f614998,Fixed on karaf-2.3.x: http://svn.apache.org/viewvc?view=revision&amp;revision=1541950,1384285744681
http://sealytics.github.io/ontologies/release-model#Bug-0df321d5-7c17-478d-8d57-7cf8f6219696,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commit;h=280a0dfa04d46212739ef5a9f2b2c90d659be6ab,1387277045777
http://sealytics.github.io/ontologies/release-model#Bug-0df321d5-7c17-478d-8d57-7cf8f6219696,This patch looks the dependency scope instead of the managed scope.,1387277045777
http://sealytics.github.io/ontologies/release-model#Bug-07628e80-f3f3-48e5-b356-f77adf6fee76,"Windows XP Professional
karaf 2.2.4

local language is chinese",1336359306411
http://sealytics.github.io/ontologies/release-model#Bug-07628e80-f3f3-48e5-b356-f77adf6fee76,"We updated the JLine version in Karaf 2.2.6. Could you make a try using Karaf 2.2.7 ?

Thanks.",1336359306411
http://sealytics.github.io/ontologies/release-model#Bug-07628e80-f3f3-48e5-b356-f77adf6fee76,"This is related to local machine, after done some configuration, then no this issue.",1336359306411
http://sealytics.github.io/ontologies/release-model#Bug-07628e80-f3f3-48e5-b356-f77adf6fee76,Which Karaf version and which OS ?,1336359306411
http://sealytics.github.io/ontologies/release-model#Bug-07628e80-f3f3-48e5-b356-f77adf6fee76,"On Windows 7, x64, and JDK7, still has this issue with karaf: 3.0.0.RC1.
But win7 64bit and JDK6, no this issue.
Region and Language option on my machine, please see attachment &quot;RegionAndLanguage.jpg&quot;.",1336359306411
http://sealytics.github.io/ontologies/release-model#Bug-07628e80-f3f3-48e5-b356-f77adf6fee76,"Had tried using karaf 2.2.7, also has this issue, same as the description.
{noformat} 
D:\apache-karaf-2.2.7\bin&gt;karaf.bat
karaf.bat: Ignoring predefined value for KARAF_HOME
        __ __                  ____
       / //_/____ __________ _/ __/
      / ,&lt;  / __ `/ ___/ __ `/ /_
     / /| |/ /_/ / /  / /_/ / __/
    /_/ |_|\__,_/_/   \__,_/_/

  Apache Karaf (2.2.7)

Hit &apos;&lt;tab&gt;&apos; for a list of available commands
and &apos;[cmd] --help&apos; for help on a specific command.
Hit &apos;&lt;ctrl-d&gt;&apos; or &apos;osgi:shutdown&apos; to shutdown Karaf.

karaf@root&gt; éƒ’éƒŸéƒ–éƒ™
{noformat} ",1336359306411
http://sealytics.github.io/ontologies/release-model#Bug-07628e80-f3f3-48e5-b356-f77adf6fee76,Thanks for the update. I close this Jira.,1336359306411
http://sealytics.github.io/ontologies/release-model#Bug-fec64794-2c19-4c51-9f76-d2882833cc9e,"thanks for the patch. 
I&apos;m always a bit confused where the difference is between a admin:create and admin:clone. 
That&apos;s why I thought that the clone command should do this. A create is supposed to work as a unzip of the karaf.zip 
Where this configuration isn&apos;t done either. 
Or did I get this totally wrong? If so never mind my brabling .... ",1395387868826
http://sealytics.github.io/ontologies/release-model#Bug-fec64794-2c19-4c51-9f76-d2882833cc9e,Attached patch for 2.3.x branch,1395387868826
http://sealytics.github.io/ontologies/release-model#Bug-fec64794-2c19-4c51-9f76-d2882833cc9e,"https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commit;h=808343e2bde812cde439db96b97586b6ec98bc5e
https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commit;h=2f49a15b97bfad0743b64816cb2ca9dc220d927f
https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commit;h=e7812263af1fcb4d4ba41fc407b045e0970847a1
https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commit;h=b0abfaefb9256605234afa58d58e3e5ea8441927",1395387868826
