1,0.104478,0.358209,0.238806,0.0597015,0.119403,0.119403,1,Bug-a1b69111-80ac-4415-adb1-bdb66c495dd7,1368449704391
2,0.0909091,0.545455,0.0909091,0.0909091,0.0909091,0.0909091,1,Bug-f67bf5af-c1c4-4cc1-a688-a4b975d5a08e,1383326983448
3,0.0294118,0.235294,0.0294118,0.0588235,0.323529,0.323529,4,Bug-e394de21-15a4-495b-a89a-14c770bd51bb,1368710386335
4,0.125,0.295455,0.0454545,0.0113636,0.261364,0.261364,1,Bug-9fad7d04-988e-487e-8f0d-bfc08fe378f9,1395260256965
5,0.047619,0.52381,0.047619,0.047619,0.285714,0.047619,1,Bug-386e4a63-5dd1-4baf-855a-b734f2b4150e,1379940479116
6,0.018018,0.216216,0.171171,0.018018,0.279279,0.297297,5,Bug-d2dc4dda-a939-403a-bb80-f7d5e1f39c00,1396961566005
7,0.0454545,0.454545,0.0454545,0.0454545,0.181818,0.227273,1,Bug-6a216a08-194f-49b3-8081-df39dd918ae1,1395650523423
8,0.125,0.25,0.125,0.125,0.1875,0.1875,1,Bug-83a721df-5548-49cc-b511-57dc27553a0a,1395892962008
9,0.102041,0.306122,0.102041,0.0204082,0.0816327,0.387755,5,Bug-f126eaa3-1ebb-45e7-a5e0-a358b04b0d72,1391126674294
10,0.0149254,0.313433,0.149254,0.0149254,0.0447761,0.462687,5,Bug-ac6c63a1-2ead-494f-b5b4-c482cf08c8f3,1396881537861
11,0.0217391,0.413043,0.0869565,0.0434783,0.304348,0.130435,1,Bug-cde2acdd-b3ce-47fb-8c3a-499a05a3fb7d,1386951247939
12,0.111111,0.444444,0.111111,0.111111,0.111111,0.111111,1,Bug-17f68574-097d-4a8f-a9d9-77b80fbe901c,1369037742419
13,0.0285714,0.628571,0.0857143,0.0285714,0.2,0.0285714,1,Bug-832e813a-3e59-4d66-8cc9-ac258d4fb550,1377590672026
14,0.00917431,0.357798,0.110092,0.00917431,0.0917431,0.422018,5,Bug-2fdffa0f-c433-48d8-95d0-bf2df826b2e2,1395442196322
15,0.111111,0.444444,0.111111,0.111111,0.111111,0.111111,1,Bug-ee47a5d6-d2a3-4b5f-a823-b10b3b3cdd96,1385099390301
16,0.0344828,0.155172,0.5,0.0172414,0.189655,0.103448,2,Bug-99005224-e03c-499d-beab-649a203304a2,1378815407458
17,0.0555556,0.666667,0.0555556,0.0555556,0.0555556,0.111111,1,Bug-89627b55-35da-4d4b-a36c-214d676c918f,1384338852605
18,0.0434783,0.434783,0.304348,0.0434783,0.0869565,0.0869565,1,Bug-bc3e3be5-86c2-4279-a396-9bca70051126,1345022130177
19,0.153333,0.18,0.26,0.00666667,0.306667,0.0933333,4,Bug-f0a7f46d-2b66-4786-9782-685525c674d2,1405604437231
20,0.111111,0.444444,0.111111,0.111111,0.111111,0.111111,1,Bug-3624a9c2-833d-42f1-aca3-6616deffad62,1395423873622
21,0.025,0.25,0.025,0.025,0.15,0.525,5,Bug-c4ffebf2-fd58-40d8-a082-42f09fe05814,1369750222593
22,0.0714286,0.571429,0.0714286,0.0714286,0.142857,0.0714286,1,Bug-6de4eeff-5a52-4796-b255-24884504e318,1380198116943
23,0.449612,0.112403,0.217054,0.0736434,0.0775194,0.0697674,0,Bug-ef405664-d283-4ebd-bfe3-322237484acb,1402578626994
24,0.289474,0.0526316,0.0263158,0.0263158,0.315789,0.289474,4,Bug-85605f70-e4c5-4380-814d-aeac3b693825,1393819714217
25,0.0714286,0.428571,0.0714286,0.0714286,0.142857,0.214286,1,Bug-69a71f8c-67af-485b-bbae-d7efe8d2afc3,1378296952594
26,0.0833333,0.583333,0.0833333,0.0833333,0.0833333,0.0833333,1,Bug-cfd9cd11-9bee-43a5-9a1f-c710d1f034e2,1408343278583
27,0.155556,0.251852,0.251852,0.0518519,0.162963,0.125926,1,Bug-45e3655e-3d04-47a6-9cf6-333b892eb7f6,1402287558365
28,0.1,0.5,0.1,0.1,0.1,0.1,1,Bug-8c158d6a-3d21-46c9-91d3-5d6436f9e5b7,1399279325063
29,0.0909091,0.545455,0.0909091,0.0909091,0.0909091,0.0909091,1,Bug-ec4f4860-6fa2-4334-8b68-24ac7417112f,1389207635924
30,0.142857,0.285714,0.142857,0.142857,0.142857,0.142857,1,Bug-fa7ccd31-fd63-4edc-8dfb-47d604d65dd9,1378881595182
31,0.00892857,0.133929,0.1875,0.00892857,0.125,0.535714,5,Bug-d294c19e-b13c-43eb-b9ff-00fac2f4deca,1398775861613
32,0.25,0.5,0.0625,0.0625,0.0625,0.0625,1,Bug-8c569e2f-0d99-4424-86b4-db6586cc6189,1397545552447
33,0.0454545,0.727273,0.0454545,0.0454545,0.0454545,0.0909091,1,Bug-573372f8-45d3-4be2-840e-7b6a8ca87790,1396425725042
34,0.0833333,0.5,0.0833333,0.0833333,0.0833333,0.166667,1,Bug-a896d793-2735-4752-959b-7241adac8388,1384350821802
35,0.0588235,0.352941,0.235294,0.0588235,0.176471,0.117647,1,Bug-776f6b28-6d1d-40d2-b5f2-9e99b0aeadfd,1403011792059
36,0.0833333,0.583333,0.0833333,0.0833333,0.0833333,0.0833333,1,Bug-07cb146b-3338-46ea-ac7e-ec6879738fe7,1396259629403
37,0.0555556,0.611111,0.111111,0.0555556,0.111111,0.0555556,1,Bug-a6aa1d96-dc19-49bf-bc45-2d2e65f71e56,1383138194760
38,0.0666667,0.6,0.0666667,0.0666667,0.133333,0.0666667,1,Bug-00f2c54f-a894-4b60-937b-d289c0c3e693,1365684834360
39,0.0285714,0.257143,0.285714,0.0285714,0.114286,0.285714,2,Bug-82924dd2-4436-4375-9462-1a387cc30500,1392137366130
40,0.0411765,0.258824,0.258824,0.247059,0.129412,0.0647059,1,Bug-b721557e-ad23-4cc1-ba6c-8b70b7a777bd,1393931584681
41,0.030303,0.636364,0.0909091,0.030303,0.121212,0.0909091,1,Bug-f3a5e13c-7301-417e-a1c8-a5464b756f08,1393855035810
42,0.0588235,0.470588,0.0588235,0.0588235,0.176471,0.176471,1,Bug-9a337705-f58d-4081-bce4-464018cc92d4,1406638608756
43,0.1,0.5,0.1,0.1,0.1,0.1,1,Bug-f3b757a3-d8eb-484f-bbee-cd4ae2cd27c7,1402590601138
44,0.0416667,0.333333,0.0416667,0.0416667,0.208333,0.333333,1,Bug-0cd17cc8-161e-407b-aec8-8b1fdb1aa1f5,1397675465251
45,0.0909091,0.545455,0.0909091,0.0909091,0.0909091,0.0909091,1,Bug-5feb6b0c-c345-4933-913e-41e247ad1b76,1389697566958
46,0.0204082,0.244898,0.0204082,0.0204082,0.102041,0.591837,5,Bug-d12a5c7e-9da0-48ca-a0a8-76859c179a62,1396345569587
47,0.00114811,0.0114811,0.0149254,0.954076,0.0149254,0.00344432,3,Bug-1968d3f1-c1b5-4c5d-81d5-ab961e015c8d,1392058664926
48,0.04,0.56,0.12,0.04,0.12,0.12,1,Bug-a756a0d9-0d90-479b-bc1f-a57638043b6d,1380803714620
49,0.0144928,0.449275,0.057971,0.057971,0.0434783,0.376812,1,Bug-556696e2-4ab5-4aeb-b076-400f6c16d48a,1360768659420
50,0.0227273,0.181818,0.181818,0.113636,0.0909091,0.409091,5,Bug-97c2f03e-8760-464b-a764-83ea62a90df1,1378739670428
51,0.0714286,0.571429,0.142857,0.0714286,0.0714286,0.0714286,1,Bug-0c46ca20-3cb0-4f37-a4a0-8b4346b9e42c,1376377252717
52,0.0181818,0.636364,0.0363636,0.0181818,0.181818,0.109091,1,Bug-33ef7cb3-e004-4200-a78a-aa962060af6c,1398347852963
53,0.0833333,0.583333,0.0833333,0.0833333,0.0833333,0.0833333,1,Bug-5a80e2ca-cd17-4997-9133-1d147441147b,1401786047105
54,0.0833333,0.583333,0.0833333,0.0833333,0.0833333,0.0833333,1,Bug-4d10edff-3851-47b4-b141-409df04806b4,1379086727440
55,0.00546448,0.273224,0.196721,0.00546448,0.136612,0.382514,5,Bug-4ea0e142-cd15-44c5-ad12-41e82e7729ad,1409737778298
56,0.0526316,0.631579,0.157895,0.0526316,0.0526316,0.0526316,1,Bug-2346505f-0f78-44f1-a786-6ae34dd71b7d,1381833573167
57,0.0625,0.375,0.375,0.0625,0.0625,0.0625,1,Bug-79d7016e-07b0-467d-88e3-d5b0a79ca93b,1380106583080
58,0.0776699,0.174757,0.00970874,0.0679612,0.466019,0.203883,4,Bug-aeb206ca-4199-4580-9a85-d68e3d40c361,1343739080641
59,0.105727,0.330396,0.30837,0.0176211,0.0969163,0.140969,1,Bug-127b17b3-cd97-43e8-9249-a4f63c8c11ca,1396542127592
60,0.1,0.5,0.1,0.1,0.1,0.1,1,Bug-b37f8f85-2581-4a8c-b9c4-645f20e0d6f9,1391098564915
