5,2013,9,5
4,2013,7,1
3,2013,5,2
1,2013,0,3
2,2013,2,1
2,2013,3,1
2,2013,5,1
2,2013,6,1
5,2013,5,1
3,2013,9,2
5,2013,6,3
2,2013,7,1
2,2013,8,3
5,2013,7,1
3,2013,8,1
2,2013,9,5
2,2013,10,2
2,2013,11,7
0,2014,7,2
1,2013,9,8
1,2013,8,6
0,2014,5,1
5,2013,1,1
1,2013,7,2
0,2014,6,1
1,2013,6,8
0,2014,3,1
0,2014,4,1
5,2013,4,1
1,2013,5,2
1,2013,4,2
0,2014,1,1
2,2012,0,1
1,2013,3,3
1,2013,2,1
1,2013,1,6
2,2012,2,1
0,2014,0,3
5,2013,0,1
3,2013,0,1
3,2014,4,3
4,2014,6,2
2,2012,4,2
1,2012,0,1
3,2010,6,1
2,2012,6,1
3,2014,3,1
3,2014,8,1
2,2012,7,1
2,2012,8,1
2,2012,9,1
4,2014,8,1
4,2014,7,1
1,2012,10,2
1,2012,11,1
3,2013,11,1
0,2013,9,1
5,2012,2,1
1,2012,9,2
1,2012,8,1
5,2012,3,1
1,2012,7,2
5,2012,4,1
5,2012,5,1
1,2012,5,5
3,2014,0,1
1,2012,4,1
3,2014,1,1
1,2012,3,2
5,2012,0,1
2,2011,2,1
1,2012,2,1
0,2013,1,1
2,2011,5,1
1,2011,1,1
2,2011,8,1
0,2013,11,1
3,2011,9,1
5,2011,9,1
0,2013,10,3
2,2012,10,1
4,2013,11,4
4,2013,10,1
0,2012,6,1
3,2011,3,1
1,2011,5,4
1,2011,4,2
5,2011,11,1
4,2014,0,1
2,2014,0,6
5,2011,2,1
0,2012,2,2
1,2011,3,1
2,2014,1,5
5,2014,8,1
2,2014,2,6
0,2011,11,1
2,2014,3,5
0,2011,10,1
3,2012,4,1
2,2014,4,3
3,2012,5,1
5,2014,4,4
2,2014,5,8
5,2014,5,3
2,2014,6,1
5,2014,6,4
2,2014,7,3
2,2014,8,3
5,2014,7,6
3,2012,9,1
1,2013,10,10
1,2013,11,12
1,2014,8,5
1,2014,7,9
5,2014,0,5
1,2014,6,17
5,2014,1,6
5,2014,2,9
1,2014,5,11
1,2014,4,11
5,2014,3,3
1,2014,3,12
1,2014,2,13
3,2012,3,1
3,2012,0,1
1,2014,1,9
5,2013,10,2
1,2014,0,11
5,2013,11,9
2,2013,1,1
